Name	Used	Potential
AMMONIA	572.230082	Infinity
AMMONIA_RE_BE	0.000000	0.000000
AMMONIA_RE_IMPORT	0.001280	Infinity
BIODIESEL	0.001150	2440.000000
BIODIESEL_BE	0.000000	0.000000
BIOETHANOL	0.002256	Infinity
CO2_ATM	0.000000	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	41885.243198	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	28341.346498	33700.000000
DIESEL	64283.830029	Infinity
ELEC_EXPORT	1321.067550	Infinity
ELECTRICITY	13845.832799	24536.404410
GAS	131933.845636	Infinity
GAS_RE_BE	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000
GASOLINE	21062.495369	Infinity
H2	0.000055	Infinity
H2_RE_BE	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000
LFO	153044.801161	Infinity
LFO_RE_BE	0.000000	0.000000
METHANOL	1481.714108	Infinity
METHANOL_RE_BE	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000
RES_GEO	33.845431	Infinity
RES_HYDRO	399.087137	Infinity
RES_SOLAR	4262.681685	Infinity
RES_WIND	4865.618556	Infinity
URANIUM	110172.270509	Infinity
WASTE	8938.906324	17800.000000
WET_BIOMASS	6607.247897	38900.000000
WOOD	19569.292855	23400.000000
WOOD_PRODUCTION	0.000000	0.000000
