Name	Crit_1_tech	Crit_1_res	Crit_1_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000002	0.000000	0.000006
CCGT_AMMONIA	0.000001	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	8.658747	0.000000	0.000000
WIND_ONSHORE	1.005420	0.000000	0.011193
WIND_OFFSHORE	0.922150	0.000000	0.015858
HYDRO_RIVER	0.017545	0.000000	0.000050
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.610937	0.000000	12.816041
IND_COGEN_WOOD	0.000000	0.000000	0.000008
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	0.030079	0.000000	1.029073
IND_BOILER_WOOD	0.000001	0.000000	0.000005
IND_BOILER_OIL	0.000000	0.000000	0.000004
IND_BOILER_COAL	0.000002	0.000000	0.000039
IND_BOILER_WASTE	0.076615	0.000000	0.726713
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.317752	0.000000	0.014767
DHN_COGEN_GAS	0.206068	0.000000	4.546366
DHN_COGEN_WOOD	0.000000	0.000000	0.000003
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000003	0.000000	0.000004
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000002
DHN_BOILER_GAS	0.000000	0.000000	0.000001
DHN_BOILER_WOOD	0.000000	0.000000	0.000002
DHN_BOILER_OIL	0.000000	0.000000	0.000002
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000009	0.000000	0.000000
DEC_HP_ELEC	1.403263	0.000000	0.044195
DEC_THHP_GAS	0.044062	0.000000	0.015860
DEC_COGEN_GAS	0.000002	0.000000	0.000008
DEC_COGEN_OIL	0.000001	0.000000	0.000042
DEC_ADVCOGEN_GAS	0.000001	0.000000	0.000001
DEC_ADVCOGEN_H2	0.000001	0.000000	0.000000
DEC_BOILER_GAS	0.000001	0.000000	0.000001
DEC_BOILER_WOOD	0.000001	0.000000	0.000004
DEC_BOILER_OIL	0.000001	0.000000	0.000003
DEC_SOLAR	0.000091	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.092180	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.643770	0.000000	1.312441
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000002	0.000000	0.000000
TRAIN_PUB	0.336998	0.000000	0.000000
CAR_GASOLINE	5.067656	0.000000	1.627322
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000075	0.000000	0.000005
CAR_BEV	33.184529	0.000000	1.513916
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	0.200259	0.000000	0.597144
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.157749	0.000000	10.295353
TRUCK_DIESEL	3.286335	0.000000	6.811841
TRUCK_METHANOL	0.000003	0.000000	0.000007
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	3.591729	0.000000	0.087704
TRUCK_NG	0.000001	0.000000	0.000001
HABER_BOSCH	0.204467	0.000000	0.042683
SYN_METHANOLATION	0.000006	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	0.000001
BIOMASS_TO_METHANOL	0.000004	0.000000	0.000001
OIL_TO_HVC	0.000010	0.000000	0.000000
GAS_TO_HVC	0.000010	0.000000	0.000000
METHANOL_TO_HVC	3.861238	0.000000	0.000000
ADLIBIO_TO_HVC	0.000005	0.000000	0.000002
PHS	2.710165	0.000000	0.000000
BATT_LI	0.000007	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000115	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000002	0.000000	0.000000
TS_DEC_HP_ELEC	0.114342	0.000000	0.000000
TS_DEC_THHP_GAS	0.001196	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000002	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000002	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000002	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000002	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000002	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000002	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000002	0.000000	0.000000
TS_DHN_DAILY	0.000012	0.000000	0.000000
TS_DHN_SEASONAL	1.110822	0.000000	0.000000
TS_HIGH_TEMP	0.049130	0.000000	0.000000
GAS_STORAGE	1.520630	0.000000	0.000000
H2_STORAGE	0.012283	0.000000	0.000000
DIESEL_STORAGE	44.275144	0.000000	0.000000
GASOLINE_STORAGE	43.255590	0.000000	0.000000
LFO_STORAGE	48.432558	0.000000	0.000000
AMMONIA_STORAGE	0.000691	0.000000	0.000000
METHANOL_STORAGE	0.001884	0.000000	0.000000
CO2_STORAGE	0.000030	0.000000	0.000000
ADLIBIO_TO_FUEL	1.053182	0.000000	1.129838
AMMONIA_TO_H2	0.000001	0.000000	0.000000
ATM_CCS	0.000000	0.000000	0.000000
BIO_HYDROLYSIS	0.068822	0.000000	2.824136
