Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000153	0.000080	0.000000
CCGT_AMMONIA	0.000029	0.000015	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2049.815092	485.026330	0.000000
WIND_ONSHORE	433.047552	120.959998	0.000000
WIND_OFFSHORE	1242.837267	207.665989	0.000000
HYDRO_RIVER	19.393260	5.801151	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	292.226864	389.198640	0.000000
IND_COGEN_WOOD	0.000001	0.000001	0.000000
IND_COGEN_WASTE	0.000009	0.000007	0.000000
IND_BOILER_GAS	42.502078	12.694562	0.000000
IND_BOILER_WOOD	0.000028	0.000008	0.000000
IND_BOILER_OIL	0.000024	0.000008	0.000000
IND_BOILER_COAL	0.000034	0.000010	0.000000
IND_BOILER_WASTE	23.972900	7.147550	0.000000
IND_DIRECT_ELEC	45.408844	2.748617	0.000000
DHN_HP_ELEC	98.422545	69.150241	0.000000
DHN_COGEN_GAS	134.739356	81.624732	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000007	0.000006	0.000000
DHN_COGEN_WET_BIOMASS	0.000013	0.000022	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000007	0.000004	0.000000
DHN_BOILER_GAS	0.000006	0.000002	0.000000
DHN_BOILER_WOOD	0.000008	0.000002	0.000000
DHN_BOILER_OIL	0.000003	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000005	0.000000	0.000000
DEC_HP_ELEC	610.906174	399.204680	0.000000
DEC_THHP_GAS	0.000941	0.000472	0.000000
DEC_COGEN_GAS	0.000050	0.000055	0.000000
DEC_COGEN_OIL	0.000126	0.000133	0.000000
DEC_ADVCOGEN_GAS	0.000082	0.000026	0.000000
DEC_ADVCOGEN_H2	0.000017	0.000005	0.000000
DEC_BOILER_GAS	0.000134	0.000060	0.000000
DEC_BOILER_WOOD	0.000015	0.000008	0.000000
DEC_BOILER_OIL	0.000037	0.000033	0.000000
DEC_SOLAR	0.000092	0.000018	0.000000
DEC_DIRECT_ELEC	0.000084	0.000005	0.000000
TRAMWAY_TROLLEY	196.746561	94.500671	0.000000
BUS_COACH_DIESEL	0.000006	0.000004	0.000000
BUS_COACH_HYDIESEL	0.000007	0.000004	0.000000
BUS_COACH_CNG_STOICH	266.348465	177.697805	0.000000
BUS_COACH_FC_HYBRIDH2	0.000006	0.000003	0.000000
BUS_COACH_ELECTRIC	0.000029	0.000017	0.000000
TRAIN_PUB	789.736999	852.657350	0.000000
CAR_GASOLINE	765.652831	403.206836	0.000000
CAR_DIESEL	0.000006	0.000003	0.000000
CAR_NG	0.000008	0.000004	0.000000
CAR_METHANOL	0.000007	0.000003	0.000000
CAR_HEV	0.000006	0.000004	0.000000
CAR_PHEV	0.002488	0.001710	0.000000
CAR_BEV	7112.869588	1512.025356	0.000000
CAR_FUEL_CELL	0.000007	0.000001	0.000000
TRAIN_FREIGHT	24.636891	14.740045	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000001	0.000000
BOAT_FREIGHT_NG	0.000008	0.000011	0.000000
BOAT_FREIGHT_METHANOL	64.882643	97.049544	0.000000
TRUCK_DIESEL	601.222298	401.113661	0.000000
TRUCK_METHANOL	0.000010	0.000007	0.000000
TRUCK_FUEL_CELL	0.000120	0.000039	0.000000
TRUCK_ELEC	825.273476	587.039722	0.000000
TRUCK_NG	0.000003	0.000002	0.000000
HABER_BOSCH	0.000053	0.000018	0.000000
SYN_METHANOLATION	0.000000	0.000000	0.000000
METHANE_TO_METHANOL	0.000031	0.000028	0.000000
BIOMASS_TO_METHANOL	0.000014	0.000004	0.000000
OIL_TO_HVC	0.000235	0.000021	0.000000
GAS_TO_HVC	7.788735	3.343046	0.000000
METHANOL_TO_HVC	182.276382	281.649363	0.000000
ADLIBIO_TO_HVC	12.459239	4.649157	0.000000
PHS	8.400075	0.000000	0.000000
BATT_LI	0.000323	0.000007	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000158	0.000019	0.000000
TS_DEC_HP_ELEC	65.732631	7.900534	0.000000
TS_DEC_THHP_GAS	0.000182	0.000022	0.000000
