TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000695	0.000018	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003148	0.961540	0.048263	0.000165
CCGT_AMMONIA	0.000274	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000170	0.630000	0.048263	0.000065
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	35422.197689	404.524220	25.000000	0.000000	40.715170	59.200000	0.000000	0.512524	1.000000	0.115910	1.000000	0.048263	84745.775787
WIND_ONSHORE	10399.999806	120.959998	30.000000	0.000000	10.000000	10.000000	0.000000	0.243033	1.000000	0.223784	1.000000	0.041639	6228.499884
WIND_OFFSHORE	29847.779608	207.665997	30.000000	0.000000	6.000000	6.000000	0.000000	0.238474	1.000000	0.365977	1.000000	0.041639	3737.099951
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005969	1.000000	0.477941	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	5987.277649	384.856631	25.000000	0.000000	4.252237	Infinity	0.000000	0.516199	1.000000	0.850000	0.850000	0.048263	4355.651685
IND_COGEN_WOOD	0.000386	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002678	0.850000	0.048263	0.000059
IND_COGEN_WASTE	0.000117	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000165	0.850000	0.048263	0.000026
IND_BOILER_GAS	553.199670	11.083587	17.000000	0.000000	9.393779	Infinity	0.000000	0.233551	1.000000	0.174085	0.950000	0.067080	115.731363
IND_BOILER_WOOD	0.000236	0.000005	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001714	0.900000	0.067080	0.000059
IND_BOILER_OIL	0.000223	0.000005	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001776	0.950000	0.067080	0.000050
IND_BOILER_COAL	0.000574	0.000011	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.017838	0.900000	0.067080	0.000240
IND_BOILER_WASTE	318.370744	6.367377	17.000000	0.000000	2.764115	Infinity	0.000000	0.237966	1.000000	0.602807	0.900000	0.067080	79.799995
IND_DIRECT_ELEC	341.487749	1.549130	15.000000	0.000000	1.027525	Infinity	0.000000	0.012284	1.000000	0.083710	0.950000	0.074944	1.510462
DHN_HP_ELEC	2132.606014	72.314957	25.000000	0.000000	6.185770	Infinity	0.000000	0.735567	1.000000	0.635561	0.950000	0.048263	1081.210712
DHN_COGEN_GAS	2416.686426	70.658759	25.000000	0.000000	1.926429	Infinity	0.000000	0.264433	1.000000	0.733653	0.850000	0.048263	945.645667
DHN_COGEN_WOOD	0.000006	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000479	0.850000	0.048263	0.000001
DHN_COGEN_WASTE	0.000092	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000134	0.850000	0.048263	0.000020
DHN_COGEN_WET_BIOMASS	0.000172	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000671	0.750000	0.048263	0.000128
DHN_COGEN_BIO_HYDROLYSIS	0.000734	0.000036	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000092	0.850000	0.074944	0.000105
DHN_BOILER_GAS	0.000067	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000641	0.950000	0.067080	0.000014
DHN_BOILER_WOOD	0.000076	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000737	0.900000	0.067080	0.000019
DHN_BOILER_OIL	0.000017	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000382	0.950000	0.067080	0.000004
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000081	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000177	1.000000	0.041639	0.000050
DEC_HP_ELEC	9385.213435	391.313920	18.000000	0.000000	19.074086	Infinity	0.000000	0.980286	1.000000	0.449301	1.000000	0.063806	3145.126094
DEC_THHP_GAS	121.435295	3.549231	20.000000	0.000000	0.384678	Infinity	0.000000	0.019714	1.000000	0.448035	1.000000	0.058246	146.920242
DEC_COGEN_GAS	0.000425	0.000027	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001318	1.000000	0.058246	0.000309
DEC_COGEN_OIL	0.000622	0.000038	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001802	1.000000	0.058246	0.000488
DEC_ADVCOGEN_GAS	0.000625	0.000012	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000394	1.000000	0.058246	0.000189
DEC_ADVCOGEN_H2	0.000211	0.000004	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000196	1.000000	0.058246	0.000064
DEC_BOILER_GAS	0.000452	0.000014	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000871	1.000000	0.067080	0.000060
DEC_BOILER_WOOD	0.000151	0.000005	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000880	1.000000	0.067080	0.000007
DEC_BOILER_OIL	0.000361	0.000022	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000954	1.000000	0.067080	0.000054
DEC_SOLAR	0.000541	0.000006	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000530	1.000000	0.058246	0.000166
DEC_DIRECT_ELEC	0.000565	0.000002	15.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.001117	1.000000	0.074944	0.000021
TRAMWAY_TROLLEY	4725.034237	94.500685	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000066	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000289	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000105	0.000004	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000464	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	8369.891320	418.495327	15.000000	0.000000	13.696211	Infinity	0.000000	0.471019	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000083	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001033	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000152	0.000007	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001361	0.296800	0.074944	0.000000
TRAIN_PUB	10819.664121	390.485181	40.000000	0.000000	7.184277	Infinity	0.000000	0.228981	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	21014.500002	1200.000000	10.000000	50.000000	50.000000	Infinity	0.000000	0.297614	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000034	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000085	0.051370	0.108434	0.000000
CAR_NG	0.000040	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000093	0.051370	0.108434	0.000000
CAR_METHANOL	0.000036	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000077	0.051370	0.108434	0.000000
CAR_HEV	0.000026	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000075	0.051370	0.108434	0.000000
CAR_PHEV	0.011291	0.000841	10.000000	0.000000	0.000025	Infinity	0.000000	0.000000	1.000000	0.007590	0.051370	0.108434	0.000000
CAR_BEV	51193.173350	1180.028429	10.000000	0.000000	118.002843	Infinity	0.000000	0.702386	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000032	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000098	0.051370	0.108434	0.000000
