Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000001	0.000000	0.000074
CCGT_AMMONIA	13.094415	0.000000	47.386090
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.158030	0.000000	0.000000
WIND_ONSHORE	102.107232	0.000000	0.587171
WIND_OFFSHORE	96.182602	0.000000	0.833517
HYDRO_RIVER	2.193013	0.000000	0.002633
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	51.222053	0.000000	12928.975279
IND_COGEN_WOOD	0.000001	0.000000	0.000244
IND_COGEN_WASTE	0.000001	0.000000	0.000054
IND_BOILER_GAS	2.744935	0.000000	2950.784171
IND_BOILER_WOOD	0.000004	0.000000	0.000574
IND_BOILER_OIL	0.000001	0.000000	0.000266
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	8.416095	0.000000	4904.501387
IND_DIRECT_ELEC	0.511962	0.000000	0.000000
DHN_HP_ELEC	34.086155	0.000000	594.295165
DHN_COGEN_GAS	0.000001	0.000000	0.000106
DHN_COGEN_WOOD	0.000000	0.000000	0.000057
DHN_COGEN_WASTE	0.000001	0.000000	0.000041
DHN_COGEN_WET_BIOMASS	0.000007	0.000000	0.000120
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000063
DHN_BOILER_GAS	0.000000	0.000000	0.000037
DHN_BOILER_WOOD	0.000001	0.000000	0.000054
DHN_BOILER_OIL	0.000000	0.000000	0.000033
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000004	0.000000	0.000000
DEC_HP_ELEC	118.320225	0.000000	1294.091789
DEC_THHP_GAS	0.000011	0.000000	0.000136
DEC_COGEN_GAS	0.000004	0.000000	0.000068
DEC_COGEN_OIL	0.000003	0.000000	0.000059
DEC_ADVCOGEN_GAS	0.000003	0.000000	0.000082
DEC_ADVCOGEN_H2	0.000003	0.000000	0.000001
DEC_BOILER_GAS	0.000002	0.000000	0.000033
DEC_BOILER_WOOD	0.000005	0.000000	0.000066
DEC_BOILER_OIL	0.000002	0.000000	0.000037
DEC_SOLAR	0.000054	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000006
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000005
BUS_COACH_CNG_STOICH	0.000001	0.000000	0.000010
BUS_COACH_FC_HYBRIDH2	0.000002	0.000000	0.000001
