Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000018	0.000010	0.000000
CCGT_AMMONIA	0.000001	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834734	431.792282	0.000000
WIND_ONSHORE	407.572699	113.844999	0.000000
WIND_OFFSHORE	1162.532825	194.247600	0.000000
HYDRO_RIVER	19.393259	5.801151	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	262.453731	349.544326	0.000000
IND_COGEN_WOOD	0.000024	0.000019	0.000000
IND_COGEN_WASTE	0.000091	0.000070	0.000000
IND_BOILER_GAS	24.964025	7.456306	0.000000
IND_BOILER_WOOD	9.187326	2.739217	0.000000
IND_BOILER_OIL	0.000043	0.000014	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	21.275967	6.343466	0.000000
IND_DIRECT_ELEC	299.909912	18.153654	0.000000
DHN_HP_ELEC	90.707780	63.729577	0.000000
DHN_COGEN_GAS	0.000020	0.000012	0.000000
DHN_COGEN_WOOD	0.000001	0.000001	0.000000
DHN_COGEN_WASTE	0.000017	0.000013	0.000000
DHN_COGEN_WET_BIOMASS	0.000012	0.000021	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000002	0.000001	0.000000
DHN_BOILER_GAS	0.000008	0.000002	0.000000
DHN_BOILER_WOOD	0.000016	0.000005	0.000000
DHN_BOILER_OIL	0.000005	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	400.205751	261.520961	0.000000
DEC_THHP_GAS	0.000049	0.000025	0.000000
DEC_COGEN_GAS	0.000028	0.000031	0.000000
DEC_COGEN_OIL	0.000033	0.000034	0.000000
DEC_ADVCOGEN_GAS	0.000048	0.000015	0.000000
DEC_ADVCOGEN_H2	259.390354	82.994613	0.000000
DEC_BOILER_GAS	0.000062	0.000028	0.000000
DEC_BOILER_WOOD	0.000020	0.000010	0.000000
DEC_BOILER_OIL	0.000046	0.000041	0.000000
DEC_SOLAR	0.000001	0.000000	0.000000
DEC_DIRECT_ELEC	0.000146	0.000008	0.000000
TRAMWAY_TROLLEY	207.241639	99.541633	0.000000
BUS_COACH_DIESEL	0.000009	0.000006	0.000000
BUS_COACH_HYDIESEL	0.000012	0.000006	0.000000
BUS_COACH_CNG_STOICH	0.000008	0.000005	0.000000
BUS_COACH_FC_HYBRIDH2	0.000031	0.000017	0.000000
BUS_COACH_ELECTRIC	1137.022305	670.007983	0.000000
TRAIN_PUB	0.000123	0.000132	0.000000
CAR_GASOLINE	0.000008	0.000004	0.000000
CAR_DIESEL	0.000010	0.000005	0.000000
CAR_NG	0.000007	0.000004	0.000000
CAR_METHANOL	0.000009	0.000005	0.000000
CAR_HEV	0.000005	0.000003	0.000000
CAR_PHEV	0.004477	0.003041	0.000000
CAR_BEV	7957.104864	1769.645490	0.000000
CAR_FUEL_CELL	0.000012	0.000002	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	0.000249	0.000361	0.000000
BOAT_FREIGHT_NG	0.000003	0.000004	0.000000
BOAT_FREIGHT_METHANOL	73.488148	106.289700	0.000000
TRUCK_DIESEL	0.000004	0.000003	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	1847.524954	621.044212	0.000000
TRUCK_ELEC	0.000056	0.000040	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	0.001329	0.000446	0.000000
SYN_METHANOLATION	0.000023	0.000011	0.000000
METHANE_TO_METHANOL	0.000041	0.000037	0.000000
BIOMASS_TO_METHANOL	0.000037	0.000010	0.000000
OIL_TO_HVC	0.000023	0.000002	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	183.787290	283.982517	0.000000
ADLIBIO_TO_HVC	0.000019	0.000007	0.000000
PHS	8.400096	0.000000	0.000000
BATT_LI	583.451071	12.035982	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000263	0.000032	0.000000
TS_DEC_HP_ELEC	35.338372	4.247302	0.000000
TS_DEC_THHP_GAS	0.000266	0.000032	0.000000
TS_DEC_COGEN_GAS	0.000269	0.000032	0.000000
TS_DEC_COGEN_OIL	0.000237	0.000029	0.000000
TS_DEC_ADVCOGEN_GAS	0.000255	0.000031	0.000000
TS_DEC_ADVCOGEN_H2	2.973819	0.357422	0.000000
TS_DEC_BOILER_GAS	0.000264	0.000032	0.000000
TS_DEC_BOILER_WOOD	0.000221	0.000027	0.000000
TS_DEC_BOILER_OIL	0.000264	0.000032	0.000000
TS_DHN_DAILY	0.000600	0.000051	0.000000
TS_DHN_SEASONAL	13.253547	1.494503	0.000000
TS_HIGH_TEMP	51.422495	11.403362	0.000000
GAS_STORAGE	0.000043	0.000039	0.000000
H2_STORAGE	0.362901	0.392552	0.000000
DIESEL_STORAGE	0.001315	0.000903	0.000000
GASOLINE_STORAGE	0.001336	0.000917	0.000000
LFO_STORAGE	0.001551	0.001065	0.000000
AMMONIA_STORAGE	0.000003	0.000002	0.000000
