Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000107	0.000056	0.000000
CCGT_AMMONIA	0.000002	0.000001	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2264.742345	535.884757	0.000000
WIND_ONSHORE	424.557328	118.588235	0.000000
WIND_OFFSHORE	1216.069937	203.193184	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	205.020005	273.052323	0.000000
IND_COGEN_WOOD	0.000004	0.000003	0.000000
IND_COGEN_WASTE	0.000014	0.000011	0.000000
IND_BOILER_GAS	25.007974	7.469406	0.000000
IND_BOILER_WOOD	0.000034	0.000010	0.000000
IND_BOILER_OIL	0.000043	0.000014	0.000000
IND_BOILER_COAL	0.000054	0.000016	0.000000
IND_BOILER_WASTE	8.234877	2.455239	0.000000
IND_DIRECT_ELEC	151.795268	9.188233	0.000000
DHN_HP_ELEC	98.609018	69.280483	0.000000
DHN_COGEN_GAS	117.510064	71.187031	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000011	0.000008	0.000000
DHN_COGEN_WET_BIOMASS	0.000016	0.000027	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000005	0.000004	0.000000
DHN_BOILER_GAS	0.000013	0.000004	0.000000
DHN_BOILER_WOOD	0.000004	0.000001	0.000000
DHN_BOILER_OIL	0.000004	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000009	0.000000	0.000000
DEC_HP_ELEC	589.976437	385.531225	0.000000
DEC_THHP_GAS	0.000403	0.000202	0.000000
DEC_COGEN_GAS	0.000075	0.000083	0.000000
DEC_COGEN_OIL	0.000088	0.000093	0.000000
DEC_ADVCOGEN_GAS	0.000118	0.000038	0.000000
DEC_ADVCOGEN_H2	0.000232	0.000074	0.000000
DEC_BOILER_GAS	0.000098	0.000044	0.000000
DEC_BOILER_WOOD	0.000024	0.000013	0.000000
DEC_BOILER_OIL	0.000065	0.000058	0.000000
DEC_SOLAR	0.000108	0.000021	0.000000
DEC_DIRECT_ELEC	0.000135	0.000008	0.000000
TRAMWAY_TROLLEY	200.519372	96.312815	0.000000
BUS_COACH_DIESEL	0.000010	0.000007	0.000000
BUS_COACH_HYDIESEL	0.000014	0.000007	0.000000
BUS_COACH_CNG_STOICH	0.036919	0.024460	0.000000
BUS_COACH_FC_HYBRIDH2	325.049814	175.963216	0.000000
BUS_COACH_ELECTRIC	15.301753	9.233117	0.000000
TRAIN_PUB	804.881041	869.007956	0.000000
CAR_GASOLINE	1150.622170	600.000000	0.000000
CAR_DIESEL	0.000006	0.000003	0.000000
CAR_NG	0.000012	0.000006	0.000000
CAR_METHANOL	0.000009	0.000005	0.000000
CAR_HEV	0.000009	0.000006	0.000000
CAR_PHEV	0.004137	0.002841	0.000000
CAR_BEV	6693.969659	1462.244151	0.000000
CAR_FUEL_CELL	0.000013	0.000002	0.000000
TRAIN_FREIGHT	25.344572	15.163445	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000001	0.000000
BOAT_FREIGHT_NG	0.000001	0.000002	0.000000
BOAT_FREIGHT_METHANOL	67.410423	99.837246	0.000000
TRUCK_DIESEL	646.033087	426.777778	0.000000
TRUCK_METHANOL	0.000001	0.000001	0.000000
TRUCK_FUEL_CELL	888.434371	305.804865	0.000000
TRUCK_ELEC	0.001053	0.000774	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	57.499293	19.300804	0.000000
SYN_METHANOLATION	0.000008	0.000004	0.000000
METHANE_TO_METHANOL	0.000108	0.000098	0.000000
BIOMASS_TO_METHANOL	0.000016	0.000004	0.000000
OIL_TO_HVC	0.000042	0.000004	0.000000
GAS_TO_HVC	35.930820	15.422128	0.000000
METHANOL_TO_HVC	156.764887	242.229220	0.000000
ADLIBIO_TO_HVC	56.643296	21.235747	0.000000
PHS	8.400086	0.000000	0.000000
BATT_LI	16.820576	0.346994	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000257	0.000031	0.000000
TS_DEC_HP_ELEC	83.032851	9.979881	0.000000
TS_DEC_THHP_GAS	0.000279	0.000033	0.000000
TS_DEC_COGEN_GAS	0.000258	0.000031	0.000000
TS_DEC_COGEN_OIL	0.000262	0.000031	0.000000
TS_DEC_ADVCOGEN_GAS	0.000260	0.000031	0.000000
TS_DEC_ADVCOGEN_H2	0.000261	0.000031	0.000000
TS_DEC_BOILER_GAS	0.000258	0.000031	0.000000
TS_DEC_BOILER_WOOD	0.000260	0.000031	0.000000
TS_DEC_BOILER_OIL	0.000257	0.000031	0.000000
TS_DHN_DAILY	0.000236	0.000020	0.000000
TS_DHN_SEASONAL	19.594460	2.234220	0.000000
TS_HIGH_TEMP	55.484385	12.304119	0.000000
GAS_STORAGE	0.000211	0.000194	0.000000
H2_STORAGE	1.201181	1.299327	0.000000
DIESEL_STORAGE	0.001291	0.000880	0.000000
GASOLINE_STORAGE	0.911684	0.621399	0.000000
LFO_STORAGE	0.001644	0.001121	0.000000
AMMONIA_STORAGE	0.000002	0.000002	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.003657	0.000878	0.000000
ADLIBIO_TO_FUEL	41.459925	12.951428	0.000000
AMMONIA_TO_H2	0.000004	0.000008	0.000000
ATM_CCS	0.000023	0.000017	0.000000
BIO_HYDROLYSIS	306.933516	279.232561	0.000000
BIOMETHANATION	0.000158	0.000038	0.000000
DHN	172.645389	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
GRID	2210.177451	0.000000	0.000000
H2_BIOMASS	0.000148	0.000215	0.000000
H2_ELECTROLYSIS	0.000106	0.000039	0.000000
INDUSTRY_CCS	0.000008	0.000006	0.000000
REDIFUEL	0.000069	0.000032	0.000000
SMR	0.000020	0.000037	0.000000
SYN_METHANATION	0.000003	0.000024	0.000000
AMMONIA	0.000000	0.000000	-0.000253
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	662.552673
BIODIESEL	0.000000	0.000000	0.000791
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000111
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000095
DIESEL	0.000000	0.000000	775.021188
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	2661.188164
GAS	0.000000	0.000000	3724.713970
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000001
GASOLINE	0.000000	0.000000	0.000098
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	2320.782494
LFO	0.000000	0.000000	0.000188
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	1683.095659
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	0.000125
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	136.554079
WET_BIOMASS	0.000000	0.000000	230.087004
WOOD	0.000000	0.000000	788.865878
WOOD_PRODUCTION	0.000000	0.000000	821.603452
