Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	840.622717	0.000000	584.036345
CCGT	0.000060	0.000000	0.000006
CCGT_AMMONIA	0.000003	0.000000	0.000001
COAL_US	0.000085	0.000000	0.000019
COAL_IGCC	0.000068	0.000000	0.000011
PV	0.000096	0.000000	0.000000
WIND_ONSHORE	2464.947965	0.000000	27.393515
WIND_OFFSHORE	0.000119	0.000000	0.000027
HYDRO_RIVER	0.000555	0.000000	-0.000325
GEOTHERMAL	0.001598	0.000000	0.000000
IND_COGEN_GAS	72.738050	0.000000	54.558386
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	140.616492	0.000000	202.356729
IND_BOILER_GAS	13.724164	0.000000	0.000000
IND_BOILER_WOOD	0.000001	0.000000	0.000000
IND_BOILER_OIL	11.194709	0.000000	0.000000
IND_BOILER_COAL	487.607753	0.000000	282.244438
IND_BOILER_WASTE	0.000001	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.358895	0.000000	0.011980
DHN_COGEN_GAS	15.498513	0.000000	5.840264
DHN_COGEN_WOOD	0.995902	0.000000	0.351690
DHN_COGEN_WASTE	5.487193	0.000000	7.896455
DHN_COGEN_WET_BIOMASS	0.000004	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.133666	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.006693	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000023	0.000000	0.000000
DEC_HP_ELEC	10.548431	0.000000	0.359274
DEC_THHP_GAS	0.000001	0.000000	0.000000
DEC_COGEN_GAS	33.829108	0.000000	7.466429
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	247.278437	0.000000	0.000000
DEC_BOILER_WOOD	2210.614004	0.000000	10.026215
DEC_BOILER_OIL	292.478828	0.000000	0.000000
DEC_SOLAR	471.423374	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	68.118807	0.000000	0.000000
BUS_COACH_DIESEL	0.000012	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	479.737889	0.000000	0.318902
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000006	0.000000	0.000000
TRAIN_PUB	249.032200	0.000000	0.000000
CAR_GASOLINE	9538.328577	0.000000	893.189731
CAR_DIESEL	5655.972858	0.000000	895.919126
CAR_NG	24.584400	0.000000	3.680216
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	422.000853	0.000000	55.248848
CAR_PHEV	0.005065	0.000000	0.000000
CAR_BEV	100.769154	0.000000	8.227340
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	180.863278	0.000000	0.000000
BOAT_FREIGHT_DIESEL	66.351487	0.000000	1.468047
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	87.954297	0.000000	1.946015
TRUCK_DIESEL	7705.253427	0.000000	0.333131
TRUCK_METHANOL	0.000002	0.000000	0.000000
TRUCK_FUEL_CELL	0.000001	0.000000	0.000000
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000001	0.000000	0.000000
HABER_BOSCH	5325.824283	0.000000	91.278900
SYN_METHANOLATION	0.000529	0.000000	0.000053
METHANE_TO_METHANOL	0.000003	0.000000	0.000005
BIOMASS_TO_METHANOL	0.000561	0.000000	0.000645
OIL_TO_HVC	0.002071	0.000000	0.000000
GAS_TO_HVC	0.000949	0.000000	0.000000
METHANOL_TO_HVC	6053.367920	0.000000	0.000000
ADLIBIO_TO_HVC	0.000451	0.000000	0.000050
PHS	5885.703847	0.000000	0.000000
BATT_LI	0.000704	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.005574	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.001041	0.000000	0.000000
TS_DEC_HP_ELEC	4.198320	0.000000	0.000000
TS_DEC_THHP_GAS	0.001041	0.000000	0.000000
TS_DEC_COGEN_GAS	5.843602	0.000000	0.000000
TS_DEC_COGEN_OIL	0.001041	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.001041	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.001041	0.000000	0.000000
TS_DEC_BOILER_GAS	43.467933	0.000000	0.000000
TS_DEC_BOILER_WOOD	27.693633	0.000000	0.000000
