Name	Crit_1_constr	Crit_1_op
NUCLEAR	257.737500	0.000000
CCGT	96.555001	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	12.273714	0.000000
COAL_IGCC	0.000000	0.000000
PV	687.486009	0.000000
WIND_ONSHORE	119.678996	0.000000
WIND_OFFSHORE	64.938001	0.000000
HYDRO_RIVER	23.541003	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	66.329989	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	38.948011	0.000000
IND_BOILER_GAS	8.234823	0.000000
IND_BOILER_WOOD	0.000000	0.000000
IND_BOILER_OIL	4.613646	0.000000
IND_BOILER_COAL	23.839999	0.000000
IND_BOILER_WASTE	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000
DHN_HP_ELEC	0.373120	0.000000
DHN_COGEN_GAS	8.511600	0.000000
DHN_COGEN_WOOD	1.792083	0.000000
DHN_COGEN_WASTE	4.513600	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000
DHN_BOILER_GAS	0.826165	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.203858	0.000000
DHN_DEEP_GEO	1.441658	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	6.960666	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	26.180000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	203.595883	0.000000
DEC_BOILER_WOOD	74.864066	0.000000
DEC_BOILER_OIL	224.670014	0.000000
DEC_SOLAR	49.822504	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
TRAMWAY_TROLLEY	7.145413	0.000000
BUS_COACH_DIESEL	144.273334	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	30.653333	0.000000
