Name	Crit_1_tech	Crit_1_res	Crit_1_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000000	0.000000	-0.000012
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	8.966720	0.000000	0.000000
WIND_ONSHORE	0.950742	0.000000	0.012697
WIND_OFFSHORE	0.888574	0.000000	0.018062
HYDRO_RIVER	0.016843	0.000000	0.000057
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.641820	0.000000	13.675989
IND_COGEN_WOOD	0.000000	0.000000	0.000001
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	0.025493	0.000000	1.107903
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.002050	0.000000	0.444819
IND_BOILER_COAL	0.000000	0.000000	0.000005
IND_BOILER_WASTE	0.082074	0.000000	0.782034
IND_DIRECT_ELEC	0.003773	0.000000	0.000000
DHN_HP_ELEC	0.306424	0.000000	0.017731
DHN_COGEN_GAS	0.097125	0.000000	1.788083
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	1.109710	0.000000	0.042944
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000010
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000	0.000000
DEC_SOLAR	0.000000	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.086738	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000001
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	2.530477	0.000000	0.005050
TRAIN_PUB	0.331995	0.000000	0.000000
CAR_GASOLINE	5.735310	0.000000	1.868749
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000004	0.000000	0.000000
CAR_BEV	29.637031	0.000000	1.388353
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	0.192910	0.000000	0.597138
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.153782	0.000000	9.991291
TRUCK_DIESEL	3.888112	0.000000	7.838653
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	6.054275	0.000000	0.047473
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000041	0.000000	0.000034
SYN_METHANOLATION	0.000000	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	3.751254	0.000000	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000	0.000000
PHS	2.615624	0.000000	0.000000
BATT_LI	1.752139	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000006	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TS_DEC_HP_ELEC	0.065182	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	0.926143	0.000000	0.000000
TS_HIGH_TEMP	0.063689	0.000000	0.000000
GAS_STORAGE	0.000074	0.000000	0.000000
H2_STORAGE	0.004104	0.000000	0.000000
DIESEL_STORAGE	0.000015	0.000000	0.000000
GASOLINE_STORAGE	0.000803	0.000000	0.000000
LFO_STORAGE	0.013641	0.000000	0.000000
AMMONIA_STORAGE	0.000040	0.000000	0.000000
METHANOL_STORAGE	0.000085	0.000000	0.000000
CO2_STORAGE	0.000002	0.000000	0.000000
ADLIBIO_TO_FUEL	0.155708	0.000000	0.185052
AMMONIA_TO_H2	0.000000	0.000000	0.000000
ATM_CCS	0.000000	0.000000	0.000000
BIO_HYDROLYSIS	0.138583	0.000000	5.533746
BIOMETHANATION	0.000001	0.000000	0.000001
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000000
GRID	1.756800	0.000000	0.000000
H2_BIOMASS	0.038142	0.000000	0.029327
H2_ELECTROLYSIS	0.000000	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000000
REDIFUEL	0.000000	0.000000	0.000000
SMR	0.000000	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000	0.000000
AMMONIA	0.000000	0.000000	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	28.019874	0.000000
BIODIESEL	0.000000	0.000001	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000002	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000001	0.000000
DIESEL	0.000000	6.865390	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	6.094113	0.000000
GAS	0.000000	11.305288	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000000
GASOLINE	0.000000	5.937764	0.000000
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	0.000000
LFO	0.000000	0.000001	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	16.750907	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	9.798716	0.000000
WOOD	0.000000	3.876584	0.000000
WOOD_PRODUCTION	0.000000	0.000000	0.000000
