TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000942	0.000024	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004832	0.961540	0.048263	0.000229
CCGT_AMMONIA	0.000038	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000695	0.630000	0.048263	0.000009
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	42367.524629	483.838504	25.000000	0.000000	59.175000	59.200000	0.000000	0.596601	1.000000	0.117664	1.000000	0.048263	123168.619899
WIND_ONSHORE	9992.199921	116.216470	30.000000	0.000000	10.000000	10.000000	0.000000	0.201245	1.000000	0.234867	1.000000	0.041639	6228.499951
WIND_OFFSHORE	28562.039887	198.720387	30.000000	0.000000	6.000000	6.000000	0.000000	0.197496	1.000000	0.384153	1.000000	0.041639	3737.099985
HYDRO_RIVER	580.165771	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004658	1.000000	0.472698	1.000000	0.033427	145.224293
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	6842.891813	439.854789	25.000000	0.000000	5.096974	Infinity	0.000000	0.531297	1.000000	0.807201	0.850000	0.048263	5220.932666
IND_COGEN_WOOD	0.000020	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000987	0.850000	0.048263	0.000003
IND_COGEN_WASTE	0.000253	0.000009	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000195	0.850000	0.048263	0.000060
IND_BOILER_GAS	484.357218	9.704299	17.000000	0.000000	8.224779	Infinity	0.000000	0.216098	1.000000	0.203461	0.950000	0.067080	101.329274
IND_BOILER_WOOD	0.000321	0.000006	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001914	0.900000	0.067080	0.000080
IND_BOILER_OIL	0.000445	0.000010	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.007264	0.950000	0.067080	0.000100
IND_BOILER_COAL	0.000739	0.000015	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.011119	0.900000	0.067080	0.000309
IND_BOILER_WASTE	305.037554	6.100715	17.000000	0.000000	2.648355	Infinity	0.000000	0.215168	1.000000	0.629155	0.900000	0.067080	76.458015
IND_DIRECT_ELEC	1278.670756	5.800580	15.000000	0.000000	3.847478	Infinity	0.000000	0.037437	1.000000	0.075350	0.950000	0.074944	5.655792
DHN_HP_ELEC	2151.129344	72.943631	25.000000	0.000000	6.583007	Infinity	0.000000	1.000000	1.000000	0.795058	0.950000	0.048263	1150.643872
DHN_COGEN_GAS	0.002284	0.000067	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.011636	0.850000	0.048263	0.000937
DHN_COGEN_WOOD	0.000005	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000267	0.850000	0.048263	0.000001
DHN_COGEN_WASTE	0.000221	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000160	0.850000	0.048263	0.000052
DHN_COGEN_WET_BIOMASS	0.000250	0.000020	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000434	0.750000	0.048263	0.000196
DHN_COGEN_BIO_HYDROLYSIS	0.000247	0.000012	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000097	0.850000	0.074944	0.000037
DHN_BOILER_GAS	0.000059	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000696	0.950000	0.067080	0.000012
DHN_BOILER_WOOD	0.000024	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000694	0.900000	0.067080	0.000006
DHN_BOILER_OIL	0.000017	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000746	0.950000	0.067080	0.000004
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000010	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000138	1.000000	0.041639	0.000006
DEC_HP_ELEC	6962.043626	290.279486	18.000000	0.000000	14.928155	Infinity	0.000000	1.000000	1.000000	0.565175	1.000000	0.063806	2461.503470
DEC_THHP_GAS	0.001525	0.000045	20.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.015978	1.000000	0.058246	0.001946
DEC_COGEN_GAS	0.000476	0.000031	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001576	1.000000	0.058246	0.000363
DEC_COGEN_OIL	0.000490	0.000030	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001152	1.000000	0.058246	0.000403
DEC_ADVCOGEN_GAS	0.000989	0.000018	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000719	1.000000	0.058246	0.000351
DEC_ADVCOGEN_H2	0.003132	0.000058	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003951	1.000000	0.058246	0.001111
DEC_BOILER_GAS	0.000845	0.000025	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001115	1.000000	0.067080	0.000112
DEC_BOILER_WOOD	0.000229	0.000008	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001896	1.000000	0.067080	0.000010
DEC_BOILER_OIL	0.000545	0.000033	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001270	1.000000	0.067080	0.000081
DEC_SOLAR	0.000031	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000187	1.000000	0.058246	0.000010
DEC_DIRECT_ELEC	0.001113	0.000005	15.000000	0.000000	0.000029	Infinity	0.000000	0.000000	1.000000	0.005417	1.000000	0.074944	0.000042
TRAMWAY_TROLLEY	4892.982565	97.859651	30.000000	0.000000	7.828772	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000172	0.000008	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001052	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000238	0.000009	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001088	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000407	0.000020	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002069	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	4691.051509	188.196110	15.000000	0.000000	6.022276	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.001376	0.000062	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.008113	0.296800	0.074944	0.000000
TRAIN_PUB	24465.410801	882.964596	40.000000	0.000000	16.245077	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_DIESEL	0.000052	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000208	0.051370	0.108434	0.000000
CAR_NG	0.000063	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000223	0.051370	0.108434	0.000000
CAR_METHANOL	0.000057	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000197	0.051370	0.108434	0.000000
CAR_HEV	0.000408	0.000032	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000629	0.051370	0.108434	0.000000
CAR_PHEV	0.026590	0.001971	10.000000	0.000000	0.000058	Infinity	0.000000	0.000000	1.000000	0.019744	0.051370	0.108434	0.000000
CAR_BEV	72794.364987	1739.743917	10.000000	0.000000	173.974392	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000092	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000319	0.051370	0.108434	0.000000
