Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000006	0.000000	-0.000033
CCGT_AMMONIA	0.000007	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	12898.212789	0.000000	0.000000
WIND_ONSHORE	3432.730997	0.000000	108.350768
WIND_OFFSHORE	1127.774154	0.000000	155.949607
HYDRO_RIVER	42.746546	0.000000	-7.842442
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	7.693833	0.000000	10.293379
IND_COGEN_WOOD	0.000004	0.000000	0.000000
IND_COGEN_WASTE	0.000004	0.000000	0.000000
IND_BOILER_GAS	19.575741	0.000000	0.000000
IND_BOILER_WOOD	0.000021	0.000000	0.000000
IND_BOILER_OIL	0.000003	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	239.011313	0.000000	171.066976
IND_DIRECT_ELEC	19.202597	0.000000	0.000000
DHN_HP_ELEC	193.759357	0.000000	12.447218
DHN_COGEN_GAS	0.000004	0.000000	0.000001
DHN_COGEN_WOOD	0.000002	0.000000	0.000000
DHN_COGEN_WASTE	0.000004	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000057	0.000000	0.000010
DHN_COGEN_BIO_HYDROLYSIS	0.000007	0.000000	0.000008
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000008	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000012	0.000000	0.000000
DEC_HP_ELEC	505.609207	0.000000	21.104554
DEC_THHP_GAS	0.000036	0.000000	0.000000
DEC_COGEN_GAS	0.000009	0.000000	0.000001
DEC_COGEN_OIL	0.000009	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000018	0.000000	0.000004
DEC_ADVCOGEN_H2	4542.356482	0.000000	4305.410909
DEC_BOILER_GAS	0.000008	0.000000	0.000000
DEC_BOILER_WOOD	0.000068	0.000000	0.000000
DEC_BOILER_OIL	0.000007	0.000000	0.000000
DEC_SOLAR	0.000128	0.000000	0.000000
DEC_DIRECT_ELEC	0.000002	0.000000	0.000000
TRAMWAY_TROLLEY	90.902558	0.000000	0.000000
BUS_COACH_DIESEL	0.000001	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000001	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000015	0.000000	0.000000
BUS_COACH_ELECTRIC	1939.775696	0.000000	1.474072
TRAIN_PUB	448.327708	0.000000	0.000000
CAR_GASOLINE	0.000001	0.000000	0.000000
CAR_DIESEL	0.000001	0.000000	0.000000
CAR_NG	0.000001	0.000000	0.000000
CAR_METHANOL	0.000001	0.000000	0.000000
CAR_HEV	0.000001	0.000000	0.000000
CAR_PHEV	0.000602	0.000000	0.000057
CAR_BEV	45934.396177	0.000000	5754.789257
CAR_FUEL_CELL	0.000005	0.000000	0.000000
TRAIN_FREIGHT	293.336354	0.000000	0.000000
BOAT_FREIGHT_DIESEL	238.944297	0.000000	5.339631
BOAT_FREIGHT_NG	0.000005	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000001	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	11919.052661	0.000000	0.642515
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000175	0.000000	0.000002
SYN_METHANOLATION	0.000089	0.000000	0.000006
METHANE_TO_METHANOL	23.240548	0.000000	15.015815
BIOMASS_TO_METHANOL	0.000054	0.000000	0.000006
OIL_TO_HVC	0.000080	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	7200.195163	0.000000	0.000000
ADLIBIO_TO_HVC	0.000049	0.000000	0.000003
PHS	6479.175418	0.000000	0.000000
BATT_LI	0.000173	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000673	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000072	0.000000	0.000000
TS_DEC_HP_ELEC	281.371085	0.000000	0.000000
TS_DEC_THHP_GAS	0.000072	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000072	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000072	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000072	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	84.162825	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000072	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000070	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000072	0.000000	0.000000
TS_DHN_DAILY	0.002354	0.000000	0.000000
TS_DHN_SEASONAL	2583.315583	0.000000	0.000000
TS_HIGH_TEMP	609.508471	0.000000	0.000000
GAS_STORAGE	0.001573	0.000000	0.000000
H2_STORAGE	0.000425	0.000000	0.000000
DIESEL_STORAGE	0.002083	0.000000	0.000000
GASOLINE_STORAGE	0.002128	0.000000	0.000000
LFO_STORAGE	0.001920	0.000000	0.000000
AMMONIA_STORAGE	0.001366	0.000000	0.000000
METHANOL_STORAGE	0.006197	0.000000	0.000000
CO2_STORAGE	0.000154	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000064	0.000000	0.000005
AMMONIA_TO_H2	0.000022	0.000000	0.000000
ATM_CCS	0.000013	0.000000	0.000023
BIO_HYDROLYSIS	1721.750969	0.000000	12253.104391
BIOMETHANATION	0.000141	0.000000	0.000120
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000006	0.000000	0.000006
GRID	919.205498	0.000000	0.000000
H2_BIOMASS	603.076482	0.000000	47.174185
H2_ELECTROLYSIS	0.000017	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000000
REDIFUEL	0.000017	0.000000	0.000002
SMR	0.000000	0.000000	0.000000
SYN_METHANATION	0.000050	0.000000	0.000000
AMMONIA	0.000000	0.000008	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000351	0.000000
BIODIESEL	0.000000	0.000153	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000143	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000155	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	42293.870147	0.000000
GAS	0.000000	3017.282594	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000001	0.000000
GASOLINE	0.000000	0.000030	0.000000
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000001	0.000000
LFO	0.000000	0.000100	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	15054.351732	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000496	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	90081.009538	0.000000
WOOD	0.000000	95588.086467	0.000000
WOOD_PRODUCTION	0.000000	0.000368	0.000000
