Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000000	0.000000	0.000009
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.158039	0.000000	0.000000
WIND_ONSHORE	102.107232	0.000000	0.626055
WIND_OFFSHORE	96.182602	0.000000	0.901081
HYDRO_RIVER	2.193013	0.000000	0.002724
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.782458	0.000000	162.011019
IND_COGEN_WOOD	0.000000	0.000000	0.000014
IND_COGEN_WASTE	0.000000	0.000000	0.000008
IND_BOILER_GAS	2.276993	0.000000	7589.535757
IND_BOILER_WOOD	0.000001	0.000000	0.000018
IND_BOILER_OIL	0.000000	0.000000	0.000034
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	7.918788	0.000000	4904.501470
IND_DIRECT_ELEC	1.326856	0.000000	0.000000
DHN_HP_ELEC	35.314575	0.000000	592.852093
DHN_COGEN_GAS	0.000000	0.000000	0.000013
DHN_COGEN_WOOD	0.000000	0.000000	0.000007
DHN_COGEN_WASTE	0.000000	0.000000	0.000006
DHN_COGEN_WET_BIOMASS	0.000001	0.000000	0.000022
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000007
DHN_BOILER_GAS	0.000000	0.000000	0.000006
DHN_BOILER_WOOD	0.000000	0.000000	0.000007
DHN_BOILER_OIL	0.000000	0.000000	0.000005
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	92.152321	0.000000	1005.193194
DEC_THHP_GAS	0.000002	0.000000	0.000014
DEC_COGEN_GAS	0.000001	0.000000	0.000012
DEC_COGEN_OIL	0.000001	0.000000	0.000011
DEC_ADVCOGEN_GAS	0.000001	0.000000	0.000014
DEC_ADVCOGEN_H2	179.408259	0.000000	76.148074
DEC_BOILER_GAS	0.000001	0.000000	0.000006
DEC_BOILER_WOOD	0.000001	0.000000	0.000008
DEC_BOILER_OIL	0.000000	0.000000	0.000007
DEC_SOLAR	0.000008	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000	0.000000
BUS_COACH_ELECTRIC	77.790158	0.000000	48.003438
TRAIN_PUB	17.641455	0.000000	4.648254
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000052	0.000000	0.000032
CAR_BEV	3497.091957	0.000000	553.863727
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	27.392424	0.000000	52.795724
BOAT_FREIGHT_DIESEL	18.323903	0.000000	750.860733
BOAT_FREIGHT_NG	0.000000	0.000000	0.000016
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000002
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	550.534837	0.000000	14.249583
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000004	0.000000	0.000000
SYN_METHANOLATION	0.000002	0.000000	0.000000
METHANE_TO_METHANOL	5.646269	0.000000	14.413845
BIOMASS_TO_METHANOL	0.000001	0.000000	0.000005
OIL_TO_HVC	0.000002	0.000000	0.000007
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	159.055050	0.000000	0.000000
ADLIBIO_TO_HVC	0.000001	0.000000	0.000005
PHS	404.931413	0.000000	0.000000
BATT_LI	0.000012	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000046	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000002	0.000000	0.000000
TS_DEC_HP_ELEC	7.726237	0.000000	0.000000
TS_DEC_THHP_GAS	0.000002	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000002	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000002	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000002	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	2.311047	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000002	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000002	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000002	0.000000	0.000000
TS_DHN_DAILY	0.000065	0.000000	0.000000
