TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
PT_POWER_BLOCK	8993.671704	539.411942	25.000000	0.000000	8.609927	10.000000	0.000000	0.125388	1.000000	1.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	478.308701	47.830870	25.000000	0.000000	9.566174	10.000000	0.000000	0.139314	1.000000	1.000000	1.000000	0.048263	0.000000
HYDRO_DAM	4557.758740	22.786953	40.000000	0.000000	1.085000	1.085000	0.000000	0.015801	1.000000	1.000000	1.000000	0.033427	1836.774800
TIDAL	200.690000	12.460000	40.000000	0.000000	0.070000	0.070000	0.000000	0.001019	1.000000	1.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.961540	0.048263	0.000000
CCGT_AMMONIA	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.630000	0.048263	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	177873.257526	2031.318536	25.000000	0.000000	187.824183	1217.000000	0.100000	0.533293	1.000000	0.194966	1.000000	0.048263	390942.888653
WIND_ONSHORE	69865.973664	812.596670	30.000000	0.000000	65.887054	704.000000	0.140000	0.150000	0.150000	0.156327	1.000000	0.041639	41037.751861
WIND_OFFSHORE	0.000007	0.000000	30.000000	0.000000	0.000000	18.000000	0.000000	0.000000	1.000000	0.000006	1.000000	0.041639	0.000001
HYDRO_RIVER	15134.760000	151.334395	40.000000	0.000000	3.000000	3.000000	0.000000	0.035185	1.000000	0.805341	1.000000	0.033427	3788.460000
GEOTHERMAL	0.000006	0.000000	30.000000	0.000000	0.000000	3.200000	0.000000	0.000000	1.000000	0.000006	0.950000	0.041639	0.000020
IND_COGEN_GAS	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.850000	0.048263	0.000001
IND_COGEN_WOOD	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.850000	0.048263	0.000000
IND_COGEN_WASTE	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000004	0.950000	0.067080	0.000000
IND_BOILER_WOOD	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000003	0.900000	0.067080	0.000000
IND_BOILER_OIL	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000002	0.950000	0.067080	0.000000
IND_BOILER_COAL	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000002	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000004	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	6391.107875	28.992711	15.000000	0.000000	19.230631	Infinity	0.000000	1.000000	1.000000	0.950000	0.950000	0.074944	28.269027
DHN_HP_ELEC	7127.627547	241.694681	25.000000	0.000000	20.148770	Infinity	0.000000	1.000000	1.000000	0.458627	0.950000	0.048263	3521.803587
DHN_COGEN_GAS	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.850000	0.048263	0.000000
DHN_COGEN_WOOD	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.850000	0.048263	0.000000
DHN_COGEN_WASTE	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000001	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.750000	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.074944	0.000000
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.950000	0.067080	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.900000	0.067080	0.000000
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	0.950000	0.067080	0.000000
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000001	0.000000	30.000000	0.000000	0.000000	407.000000	0.000000	0.000000	1.000000	0.000003	1.000000	0.041639	0.000000
DEC_HP_ELEC	36366.939501	1516.297110	18.000000	0.000000	72.030858	Infinity	0.000000	1.000000	1.000000	0.294876	1.000000	0.063806	11877.168147
DEC_THHP_GAS	0.000002	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000005	1.000000	0.058246	0.000002
DEC_COGEN_GAS	0.000001	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	1.000000	0.058246	0.000001
DEC_COGEN_OIL	0.000001	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000001
DEC_ADVCOGEN_GAS	0.000003	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000001
DEC_ADVCOGEN_H2	0.000003	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000001
DEC_BOILER_GAS	0.000002	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	1.000000	0.067080	0.000000
DEC_BOILER_WOOD	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	1.000000	0.067080	0.000000
DEC_BOILER_OIL	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000001	1.000000	0.067080	0.000000
DEC_SOLAR	0.000011	0.000000	20.000000	0.000000	0.000000	407.000000	0.000000	0.000000	1.000000	0.000021	1.000000	0.058246	0.000003
DEC_DIRECT_ELEC	0.000002	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000004	1.000000	0.074944	0.000000
DEC_THHP_GAS_COLD	0.000002	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.289501	1.000000	0.000022	1.000000	0.058246	0.000002
DEC_ELEC_COLD	0.000004	0.000000	18.000000	0.000000	0.000000	Infinity	0.000000	0.710499	1.000000	0.000053	1.000000	0.063806	0.000001
TRAMWAY_TROLLEY	0.000000	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
TRAIN_PUB	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.275070	0.033427	0.000000
IND_ELEC_COLD	0.000000	0.000000	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.950000	0.058246	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
TRAIN_PUB	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.275070	0.033427	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.296800	0.074944	0.000000
TRAIN_PUB	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_DIESEL	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_NG	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_METHANOL	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_HEV	0.000000	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_PHEV	0.000037	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000022	0.051370	0.108434	0.000000
CAR_BEV	654330.752772	14688.548113	10.000000	0.000000	1468.854811	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
