Name	Crit_1_tech	Crit_1_res	Crit_1_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000006	0.000000	0.000024
CCGT_AMMONIA	0.000000	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	9.110602	0.000000	0.000000
WIND_ONSHORE	0.950742	0.000000	0.012093
WIND_OFFSHORE	0.888574	0.000000	0.017194
HYDRO_RIVER	0.016843	0.000000	0.000055
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.466625	0.000000	9.800467
IND_COGEN_WOOD	0.000000	0.000000	0.000016
IND_COGEN_WASTE	0.000000	0.000000	0.000002
IND_BOILER_GAS	0.023185	0.000000	0.989161
IND_BOILER_WOOD	0.000001	0.000000	0.000014
IND_BOILER_OIL	0.000000	0.000000	0.000026
IND_BOILER_COAL	0.000004	0.000000	0.000266
IND_BOILER_WASTE	0.101903	0.000000	1.020380
IND_DIRECT_ELEC	0.001421	0.000000	0.000000
DHN_HP_ELEC	0.315116	0.000000	0.014052
DHN_COGEN_GAS	0.206066	0.000000	4.786873
DHN_COGEN_WOOD	0.000000	0.000000	0.000011
DHN_COGEN_WASTE	0.000000	0.000000	0.000001
DHN_COGEN_WET_BIOMASS	0.000004	0.000000	0.000008
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000002
DHN_BOILER_GAS	0.000000	0.000000	0.000001
DHN_BOILER_WOOD	0.000000	0.000000	0.000008
DHN_BOILER_OIL	0.000000	0.000000	0.000008
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000013	0.000000	0.000000
DEC_HP_ELEC	1.401202	0.000000	0.043381
DEC_THHP_GAS	0.000176	0.000000	0.000066
DEC_COGEN_GAS	0.000003	0.000000	0.000017
DEC_COGEN_OIL	0.000005	0.000000	0.000511
DEC_ADVCOGEN_GAS	0.000003	0.000000	0.000003
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000001
DEC_BOILER_GAS	0.000004	0.000000	0.000004
DEC_BOILER_WOOD	0.000001	0.000000	0.000013
DEC_BOILER_OIL	0.000003	0.000000	0.000015
DEC_SOLAR	0.000108	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.086738	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000000	0.000001
BUS_COACH_CNG_STOICH	0.641499	0.000000	1.265547
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000001	0.000000	0.000000
TRAIN_PUB	0.331995	0.000000	0.000000
CAR_GASOLINE	5.735310	0.000000	1.869755
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
