Name	Used	Potential
AMMONIA	0.000916	Infinity
AMMONIA_RE_BE	0.000000	0.000000
AMMONIA_RE_IMPORT	8926.970988	Infinity
BIODIESEL	4442.149214	Infinity
BIODIESEL_BE	0.000000	0.000000
BIOETHANOL	0.001826	Infinity
CO2_ATM	0.002671	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	56500.125549	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	0.014879	33354.999440
DIESEL	0.019285	Infinity
ELEC_EXPORT	2049.299646	Infinity
ELECTRICITY	30869.377397	30869.377000
GAS	81817.293418	Infinity
GAS_RE_BE	0.000000	0.000000
GAS_RE_IMPORT	0.000016	Infinity
GASOLINE	0.002150	Infinity
H2	0.000007	Infinity
H2_RE_BE	0.000000	0.000000
H2_RE_IMPORT	3847.681757	Infinity
LFO	0.240738	Infinity
LFO_RE_BE	0.000000	0.000000
METHANOL	57052.325617	Infinity
METHANOL_RE_BE	0.000000	0.000000
METHANOL_RE_IMPORT	0.002969	Infinity
RES_GEO	0.000000	Infinity
RES_HYDRO	473.888707	Infinity
RES_SOLAR	59386.307041	Infinity
RES_WIND	38679.349755	Infinity
URANIUM	0.000000	Infinity
WASTE	17128.523423	17800.000000
WET_BIOMASS	38900.004752	38900.000000
WOOD	23400.000726	23400.000000
WOOD_PRODUCTION	28895.739900	70200.000000
