Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000007	0.000004	0.000000
CCGT_AMMONIA	0.000001	0.000001	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2264.742801	535.884865	0.000000
WIND_ONSHORE	424.557327	118.588235	0.000000
WIND_OFFSHORE	1216.069995	203.193194	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	382.001290	508.761765	0.000000
IND_COGEN_WOOD	0.000004	0.000003	0.000000
IND_COGEN_WASTE	0.000002	0.000001	0.000000
IND_BOILER_GAS	36.774322	10.983791	0.000000
IND_BOILER_WOOD	0.000003	0.000001	0.000000
IND_BOILER_OIL	0.000006	0.000002	0.000000
IND_BOILER_COAL	0.000004	0.000001	0.000000
IND_BOILER_WASTE	17.840403	5.319138	0.000000
IND_DIRECT_ELEC	126.311624	7.645697	0.000000
DHN_HP_ELEC	129.450895	90.949293	0.000000
DHN_COGEN_GAS	5.790764	3.508017	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000001	0.000001	0.000000
DHN_COGEN_WET_BIOMASS	0.000001	0.000002	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000	0.000000
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	583.465886	381.276783	0.000000
DEC_THHP_GAS	0.000013	0.000007	0.000000
DEC_COGEN_GAS	0.000004	0.000005	0.000000
DEC_COGEN_OIL	0.000003	0.000003	0.000000
DEC_ADVCOGEN_GAS	0.000008	0.000002	0.000000
DEC_ADVCOGEN_H2	32.956580	10.544773	0.000000
DEC_BOILER_GAS	0.000005	0.000002	0.000000
DEC_BOILER_WOOD	0.000003	0.000002	0.000000
DEC_BOILER_OIL	0.000003	0.000003	0.000000
DEC_SOLAR	0.000067	0.000013	0.000000
DEC_DIRECT_ELEC	0.000007	0.000000	0.000000
TRAMWAY_TROLLEY	200.519407	96.312832	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000002	0.000001	0.000000
BUS_COACH_FC_HYBRIDH2	342.152371	185.221553	0.000000
BUS_COACH_ELECTRIC	0.000005	0.000003	0.000000
TRAIN_PUB	804.880968	869.007877	0.000000
CAR_GASOLINE	1150.622170	600.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000001	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000197	0.000135	0.000000
CAR_BEV	6693.972479	1462.244767	0.000000
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	25.344572	15.163445	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
