Name	Crit_3_tech	Crit_3_res	Crit_3_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000015	0.000000	0.000016
CCGT_AMMONIA	0.000000	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1446.264147	0.000000	0.000000
WIND_ONSHORE	99.655589	0.000000	3.665149
WIND_OFFSHORE	94.362621	0.000000	5.170980
HYDRO_RIVER	1.293595	0.000000	0.016370
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	20.897654	0.000000	26.808561
IND_COGEN_WOOD	0.000002	0.000000	0.000041
IND_COGEN_WASTE	0.000001	0.000000	0.000049
IND_BOILER_GAS	1.566800	0.000000	0.000000
IND_BOILER_WOOD	0.000017	0.000000	0.000055
IND_BOILER_OIL	0.000003	0.000000	0.000000
IND_BOILER_COAL	0.000020	0.000000	0.000002
IND_BOILER_WASTE	8.507735	0.000000	301.914908
IND_DIRECT_ELEC	0.120544	0.000000	0.000000
DHN_HP_ELEC	7.696293	0.000000	1.768992
DHN_COGEN_GAS	5.631836	0.000000	11.638614
DHN_COGEN_WOOD	0.000000	0.000000	0.000026
DHN_COGEN_WASTE	0.000001	0.000000	0.000044
DHN_COGEN_WET_BIOMASS	0.000023	0.000000	0.000026
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000025
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000002	0.000000	0.000025
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000029	0.000000	0.000000
DEC_HP_ELEC	32.997218	0.000000	5.266802
DEC_THHP_GAS	0.000499	0.000000	0.000000
DEC_COGEN_GAS	0.000013	0.000000	0.000005
DEC_COGEN_OIL	0.000031	0.000000	0.000049
DEC_ADVCOGEN_GAS	0.000018	0.000000	0.000013
DEC_ADVCOGEN_H2	0.000004	0.000000	0.000010
DEC_BOILER_GAS	0.000018	0.000000	0.000000
DEC_BOILER_WOOD	0.000005	0.000000	0.000049
DEC_BOILER_OIL	0.000013	0.000000	0.000000
DEC_SOLAR	0.000251	0.000000	0.000000
DEC_DIRECT_ELEC	0.000002	0.000000	0.000000
TRAMWAY_TROLLEY	4.234413	0.000000	0.000000
BUS_COACH_DIESEL	0.000009	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000010	0.000000	0.000000
BUS_COACH_CNG_STOICH	91.232120	0.000000	0.260068
BUS_COACH_FC_HYBRIDH2	0.000021	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000227	0.000000	0.000001
TRAIN_PUB	20.980970	0.000000	0.000000
CAR_GASOLINE	480.602843	0.000000	79.131068
CAR_DIESEL	0.000003	0.000000	0.000001
CAR_NG	0.000004	0.000000	0.000002
CAR_METHANOL	0.000003	0.000000	0.000001
CAR_HEV	0.000003	0.000000	0.000001
CAR_PHEV	0.001617	0.000000	0.000112
CAR_BEV	3132.638764	0.000000	214.286367
CAR_FUEL_CELL	0.000006	0.000000	0.000002
TRAIN_FREIGHT	11.141636	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000014	0.000000	0.000000
BOAT_FREIGHT_METHANOL	9.895728	0.000000	0.173553
TRUCK_DIESEL	232.909987	0.000000	0.078870
TRUCK_METHANOL	0.000025	0.000000	0.000000
TRUCK_FUEL_CELL	0.000210	0.000000	0.000000
TRUCK_ELEC	223.132549	0.000000	0.030140
TRUCK_NG	0.000045	0.000000	0.000000
