Name	Used	Potential
AMMONIA	0.000194	Infinity
AMMONIA_RE_BE	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000217	Infinity
BIODIESEL	0.000126	Infinity
BIODIESEL_BE	0.000000	0.000000
BIOETHANOL	0.000166	Infinity
CO2_ATM	0.000088	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	16231.956329	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	0.000000	0.000000
DIESEL	13081.768370	Infinity
ELEC_EXPORT	0.000238	Infinity
ELECTRICITY	0.000114	26695.865580
GAS	0.000008	1500000.000000
GAS_RE_BE	0.000000	0.000000
GAS_RE_IMPORT	0.000001	Infinity
GASOLINE	15043.712578	Infinity
H2	0.000000	Infinity
H2_RE_BE	0.000000	0.000000
H2_RE_IMPORT	0.000000	Infinity
LFO	53.621418	Infinity
LFO_RE_BE	0.000000	0.000000
METHANOL	0.000225	Infinity
METHANOL_RE_BE	0.000000	0.000000
METHANOL_RE_IMPORT	0.000135	Infinity
RES_GEO	0.000242	Infinity
RES_HYDRO	90746.591499	Infinity
RES_SOLAR	0.001090	Infinity
RES_WIND	0.000902	Infinity
URANIUM	39727.349765	Infinity
WASTE	8199.481153	38204.550000
WET_BIOMASS	41212.559593	41212.559600
WOOD	0.053757	1000.000000
WOOD_PRODUCTION	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
