Name	Crit_3_tech	Crit_3_res	Crit_3_op
NUCLEAR	27.742542	0.000000	4730.676571
CCGT	0.000003	0.000000	0.000004
CCGT_AMMONIA	0.000002	0.000000	0.000000
COAL_US	1.416053	0.000000	116.305446
COAL_IGCC	0.000009	0.000000	0.000563
PV	180.233759	0.000000	0.000000
WIND_ONSHORE	77.198318	0.000000	1.359783
WIND_OFFSHORE	0.000005	0.000000	0.000001
HYDRO_RIVER	1.117908	0.000000	0.007051
GEOTHERMAL	0.000046	0.000000	0.000000
IND_COGEN_GAS	4.870281	0.000000	2.041572
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	4.735504	0.000000	313.000982
IND_BOILER_GAS	1.059815	0.000000	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.629548	0.000000	0.000000
IND_BOILER_COAL	5.447286	0.000000	5.385323
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.108275	0.000000	0.017768
DHN_COGEN_GAS	1.657072	0.000000	1.464667
DHN_COGEN_WOOD	0.227250	0.000000	7.178569
DHN_COGEN_WASTE	1.238465	0.000000	81.858378
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.046560	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.002425	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000019	0.000000	0.000000
DEC_HP_ELEC	0.692661	0.000000	0.096348
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	2.604958	0.000000	0.338693
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	18.320221	0.000000	0.000000
DEC_BOILER_WOOD	15.058707	0.000000	180.209357
DEC_BOILER_OIL	22.279781	0.000000	0.000000
DEC_SOLAR	24.225096	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.375717	0.000000	0.000000
BUS_COACH_DIESEL	106.349968	0.000000	0.294548
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	4.283055	0.000000	0.011782
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000001	0.000000	0.000000
TRAIN_PUB	8.152845	0.000000	0.000000
CAR_GASOLINE	714.667482	0.000000	107.390818
CAR_DIESEL	912.514627	0.000000	137.146466
CAR_NG	3.415778	0.000000	0.497909
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	31.925050	0.000000	3.986666
CAR_PHEV	0.000559	0.000000	0.000000
CAR_BEV	41.420304	0.000000	2.503145
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	8.975065	0.000000	0.000000
BOAT_FREIGHT_DIESEL	3.408397	0.000000	0.057923
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	4.518108	0.000000	0.076782
TRUCK_DIESEL	227.040307	0.000000	0.085347
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	18.736636	0.000000	0.007120
HABER_BOSCH	118.270914	0.000000	4365.426096
SYN_METHANOLATION	0.000047	0.000000	0.000029
METHANE_TO_METHANOL	0.000001	0.000000	0.000017
BIOMASS_TO_METHANOL	0.000038	0.000000	0.000124
OIL_TO_HVC	158.177255	0.000000	0.000000
GAS_TO_HVC	0.000056	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000	0.000000
PHS	237.309235	0.000000	0.000000
BATT_LI	0.000166	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.002492	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000040	0.000000	0.000000
TS_DEC_HP_ELEC	0.190645	0.000000	0.000000
TS_DEC_THHP_GAS	0.000040	0.000000	0.000000
TS_DEC_COGEN_GAS	0.252608	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000040	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000040	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000040	0.000000	0.000000
TS_DEC_BOILER_GAS	3.795484	0.000000	0.000000
TS_DEC_BOILER_WOOD	1.108105	0.000000	0.000000
TS_DEC_BOILER_OIL	5.075981	0.000000	0.000000
TS_DHN_DAILY	0.000232	0.000000	0.000000
TS_DHN_SEASONAL	135.312769	0.000000	0.000000
TS_HIGH_TEMP	0.000058	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000	0.000000
H2_STORAGE	0.001105	0.000000	0.000000
DIESEL_STORAGE	0.002205	0.000000	0.000000
GASOLINE_STORAGE	0.002285	0.000000	0.000000
LFO_STORAGE	0.001854	0.000000	0.000000
AMMONIA_STORAGE	2526.184598	0.000000	0.000000
METHANOL_STORAGE	440.617688	0.000000	0.000000
CO2_STORAGE	0.000349	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000000	0.000000	0.000000
AMMONIA_TO_H2	0.000007	0.000000	0.000000
ATM_CCS	0.000004	0.000000	0.000003
BIO_HYDROLYSIS	0.000004	0.000000	0.000577
BIOMETHANATION	0.000016	0.000000	0.000019
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000029
GRID	22.972190	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000	0.000002
H2_ELECTROLYSIS	0.000001	0.000000	0.000002
INDUSTRY_CCS	0.000000	0.000000	0.000003
REDIFUEL	0.000003	0.000000	0.000054
SMR	0.000000	0.000000	135.652932
SYN_METHANATION	0.000000	0.000000	0.000000
AMMONIA	0.000000	0.000469	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.001217	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.001968	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	218.311789	0.000000
DIESEL	0.000000	281.765843	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	604.358101	0.000000
GAS	0.000000	689.139155	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.000000	0.000000
GASOLINE	0.000000	141.188091	0.000000
H2	0.000000	0.010004	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	0.000000
LFO	0.000000	1080.910841	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	90.802121	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
