;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[CC_ANNE];[CC_REF];[kt/y];[CC_ANNE];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0.344142857;0.056866;0;0.206485714;0.206485714;0.206485714;0.355063;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.058881227;0.25;0.3448;0.3448;0.3448;0.053973;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.057006647;0.27;0.3148;0.3148;0.3148;0.040456;
Renewable;Biofuel;BIOETHANOL;1.00E+03;0;0.126229051;0.25;0;0;0;-0.03092;
Renewable;Biofuel;BIODIESEL;1.00E+04;0;0.135167338;0.27;0;0;0;-0.07229;
Renewable;Biofuel;BIODIESEL_BE;0.00E+00;0.27;0.135167338;0.27;0;0;0;0;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.043;0.26;0.3115;0.3115;0.3115;0.040973;
Non-renewable;Biofuel;LFO_RE_BE;0.00E+00;0;0.086;0.26;0;0;0;0.00E+00;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2585;0.03;0.2;0.2666;0.2666;0.2666;0.060645;
Renewable;Biofuel;GAS_RE_IMPORT;0.00E+00;0.124;0.137018848;0.2;0;0;0;-0.04043;
Renewable;Biofuel;GAS_RE_BE;0.00E+00;0.2;0.137018848;0.2;0;0;0;0;
Renewable;Biomass;WOOD;23400;0.0118;0.028508853;0.39;0.0118;0.0118;0.0118;-0.31805;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005001899;0.39;0.0118;0.0118;0.0118;-0.4107;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.0145;0.36;0.4014;0.4014;0.4014;0.046179;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.0039;0.0039;0.0039;0.001525;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.020052021;0.26;0.1501;0.1501;0.1501;0;
Non-renewable;Other non-renewable;H2;7.00E+01;0.36380236;0.073701999;0;0.36380236;0.36380236;0.36380236;0.577696496;
Renewable;Biofuel;H2_RE_IMPORT;8.00E+04;0;0.144058419;0;0;0;0;0.143587714;
Renewable;Biofuel;H2_RE_BE;0.00E+00;0;0.144058419;0;0;0;0;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.064208462;0;0.285;0.285;0.285;0.53122;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.072906869;0.24570329;0.35;0.35;0.35;0.092612;
Renewable;Biofuel;AMMONIA_RE_IMPORT;0.00E+00;0;0.09639402;0;0;0;0;0.144621;
Renewable;Biofuel;AMMONIA_RE_BE;0.00E+00;0;0.09639402;0;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_BE;0.00E+00;0;0.126229051;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;0.00E+00;0;0.126229051;0.24570329;0;0;0;-0.02797;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
