Name	LCA_tech	LCA_res	LCA_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.000000	0.000000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	11.542992	0.000000	14.824117
CCGT	0.000005	0.000000	0.000421
CCGT_AMMONIA	0.000006	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	0.000019	0.000000	0.000000
WIND_ONSHORE	0.000054	0.000000	0.000001
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_RIVER	111.495819	0.000000	0.362506
GEOTHERMAL	0.000091	0.000000	0.000000
IND_COGEN_GAS	0.000006	0.000000	0.000380
IND_COGEN_WOOD	0.000005	0.000000	0.000387
IND_COGEN_WASTE	0.000008	0.000000	0.001332
IND_BOILER_GAS	0.000004	0.000000	0.001065
IND_BOILER_WOOD	0.000019	0.000000	0.000978
IND_BOILER_OIL	0.000004	0.000000	0.000344
IND_BOILER_COAL	15.314212	0.000000	8930.471345
IND_BOILER_WASTE	0.000022	0.000000	0.001740
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	20.444304	0.000000	253.371774
DHN_COGEN_GAS	0.000003	0.000000	0.000336
DHN_COGEN_WOOD	0.000002	0.000000	0.000266
DHN_COGEN_WASTE	0.000008	0.000000	0.001220
DHN_COGEN_WET_BIOMASS	0.000074	0.000000	0.002651
DHN_COGEN_BIO_HYDROLYSIS	0.000004	0.000000	0.002314
DHN_BOILER_GAS	0.000001	0.000000	0.000537
DHN_BOILER_WOOD	0.000007	0.000000	0.000716
DHN_BOILER_OIL	0.000001	0.000000	0.000319
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000058	0.000000	0.000000
DEC_HP_ELEC	82.135502	0.000000	736.521948
DEC_THHP_GAS	0.000155	0.000000	0.004003
DEC_COGEN_GAS	0.000011	0.000000	0.000402
DEC_COGEN_OIL	0.000010	0.000000	0.000322
DEC_ADVCOGEN_GAS	0.000010	0.000000	0.000398
DEC_ADVCOGEN_H2	0.000009	0.000000	0.000002
DEC_BOILER_GAS	0.000007	0.000000	0.000975
