TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000115	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000515	0.961540	0.048263	0.000027
CCGT_AMMONIA	0.000051	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000023	0.630000	0.048263	0.000012
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	30133.890137	344.130031	25.000000	0.000000	31.819698	59.200000	0.000000	0.452417	1.000000	0.117652	1.000000	0.048263	66230.473431
WIND_ONSHORE	10603.900000	123.331765	30.000000	0.000000	10.000000	10.000000	0.000000	0.275030	1.000000	0.227581	1.000000	0.041639	6228.500000
WIND_OFFSHORE	30490.679999	212.138806	30.000000	0.000000	6.000000	6.000000	0.000000	0.266075	1.000000	0.366953	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165800	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.006478	1.000000	0.466149	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	7273.935567	467.560144	25.000000	0.000000	5.048609	Infinity	0.000000	0.595238	1.000000	0.850000	0.850000	0.048263	5171.391663
IND_COGEN_WOOD	0.000065	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000181	0.850000	0.048263	0.000010
IND_COGEN_WASTE	0.000054	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000027	0.850000	0.048263	0.000012
IND_BOILER_GAS	575.604505	11.532477	17.000000	0.000000	9.774232	Infinity	0.000000	0.173643	1.000000	0.128078	0.950000	0.067080	120.418535
IND_BOILER_WOOD	0.000046	0.000001	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000206	0.900000	0.067080	0.000011
IND_BOILER_OIL	0.000041	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000147	0.950000	0.067080	0.000009
IND_BOILER_COAL	0.000051	0.000001	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000542	0.900000	0.067080	0.000021
IND_BOILER_WASTE	331.695365	6.633868	17.000000	0.000000	2.879800	Infinity	0.000000	0.231118	1.000000	0.578591	0.900000	0.067080	83.139826
IND_DIRECT_ELEC	0.000149	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000397	0.950000	0.074944	0.000001
DHN_HP_ELEC	2428.500882	82.349385	25.000000	0.000000	6.865020	Infinity	0.000000	0.852715	1.000000	0.664221	0.950000	0.048263	1199.936874
DHN_COGEN_GAS	1378.848206	40.314713	25.000000	0.000000	1.074154	Infinity	0.000000	0.147285	1.000000	0.733233	0.850000	0.048263	527.280594
DHN_COGEN_WOOD	0.000045	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000060	0.850000	0.048263	0.000007
DHN_COGEN_WASTE	0.000049	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000022	0.850000	0.048263	0.000011
DHN_COGEN_WET_BIOMASS	0.000043	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000117	0.750000	0.048263	0.000031
DHN_COGEN_BIO_HYDROLYSIS	0.000038	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000015	0.850000	0.074944	0.000005
DHN_BOILER_GAS	0.000010	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000135	0.950000	0.067080	0.000002
DHN_BOILER_WOOD	0.000015	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000080	0.900000	0.067080	0.000004
DHN_BOILER_OIL	0.000008	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000066	0.950000	0.067080	0.000002
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000030	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000041	1.000000	0.041639	0.000018
DEC_HP_ELEC	5681.062676	236.868404	18.000000	0.000000	11.252303	Infinity	0.000000	0.579396	1.000000	0.449334	1.000000	0.063806	1855.392221
DEC_THHP_GAS	2658.237950	77.692064	20.000000	0.000000	8.206464	Infinity	0.000000	0.420604	1.000000	0.447252	1.000000	0.058246	3134.294950
DEC_COGEN_GAS	0.000110	0.000007	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000266	1.000000	0.058246	0.000078
DEC_COGEN_OIL	0.000070	0.000004	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000081	1.000000	0.058246	0.000054
DEC_ADVCOGEN_GAS	0.000157	0.000003	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000069	1.000000	0.058246	0.000044
DEC_ADVCOGEN_H2	0.000113	0.000002	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000024	1.000000	0.058246	0.000032
DEC_BOILER_GAS	0.000071	0.000002	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000159	1.000000	0.067080	0.000009
DEC_BOILER_WOOD	0.000072	0.000003	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000133	1.000000	0.067080	0.000003
DEC_BOILER_OIL	0.000054	0.000003	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000112	1.000000	0.067080	0.000008
DEC_SOLAR	0.000472	0.000005	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000312	1.000000	0.058246	0.000143
DEC_DIRECT_ELEC	0.000084	0.000000	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000065	1.000000	0.074944	0.000003
TRAMWAY_TROLLEY	4725.034448	94.500689	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000007	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000032	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000009	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000032	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	10894.479172	548.566919	15.000000	0.000000	17.953099	Infinity	0.000000	0.617415	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000007	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000022	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000020	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000081	0.296800	0.074944	0.000000
TRAIN_PUB	3902.254527	140.833629	40.000000	0.000000	2.591104	Infinity	0.000000	0.082585	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	17504.217986	1008.017160	10.000000	0.000000	42.000715	Infinity	0.250000	0.250000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000004	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000005	0.051370	0.108434	0.000000
CAR_NG	0.000008	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000009	0.051370	0.108434	0.000000
CAR_METHANOL	0.000007	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000008	0.051370	0.108434	0.000000
CAR_HEV	0.000004	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000005	0.051370	0.108434	0.000000
CAR_PHEV	0.001726	0.000128	10.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001038	0.051370	0.108434	0.000000
CAR_BEV	56130.174615	1260.021429	10.000000	0.000000	126.002143	Infinity	0.000000	0.750000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000002	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
