Name	Crit_2_tech	Crit_2_res	Crit_2_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.000000	0.000000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000034	0.000000	-0.000092
CCGT_AMMONIA	0.000036	0.000000	0.000001
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	31367.357921	0.000000	0.000000
WIND_ONSHORE	36629.713474	0.000000	864.921192
WIND_OFFSHORE	0.000042	0.000000	0.000004
HYDRO_RIVER	0.000803	0.000000	-0.000303
GEOTHERMAL	0.000526	0.000000	0.000000
IND_COGEN_GAS	0.000023	0.000000	0.000013
IND_COGEN_WOOD	0.000037	0.000000	0.000003
IND_COGEN_WASTE	0.000038	0.000000	0.000017
IND_BOILER_GAS	4.954749	0.000000	0.000000
IND_BOILER_WOOD	0.001521	0.000000	0.000063
IND_BOILER_OIL	0.000014	0.000000	0.000000
IND_BOILER_COAL	982.628805	0.000000	376.780725
IND_BOILER_WASTE	781.410698	0.000000	367.164902
IND_DIRECT_ELEC	11.298106	0.000000	0.000000
DHN_HP_ELEC	355.263414	0.000000	20.148482
DHN_COGEN_GAS	0.000024	0.000000	0.000008
DHN_COGEN_WOOD	0.000017	0.000000	0.000002
DHN_COGEN_WASTE	0.000033	0.000000	0.000011
DHN_COGEN_WET_BIOMASS	0.000923	0.000000	0.000223
DHN_COGEN_BIO_HYDROLYSIS	0.000070	0.000000	0.000951
DHN_BOILER_GAS	0.000003	0.000000	0.000000
DHN_BOILER_WOOD	0.000069	0.000000	0.000001
DHN_BOILER_OIL	0.000003	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000639	0.000000	0.000000
DEC_HP_ELEC	2376.060375	0.000000	61.286644
DEC_THHP_GAS	0.007417	0.000000	0.000000
DEC_COGEN_GAS	0.000062	0.000000	0.000008
DEC_COGEN_OIL	0.000058	0.000000	0.000001
DEC_ADVCOGEN_GAS	0.000110	0.000000	0.000039
DEC_ADVCOGEN_H2	0.000099	0.000000	0.000026
DEC_BOILER_GAS	0.000073	0.000000	0.000000
