TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000631	0.000016	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002562	0.961540	0.048263	0.000153
CCGT_AMMONIA	0.000064	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000348	0.630000	0.048263	0.000015
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	42367.523475	483.838491	25.000000	0.000000	59.174998	59.200000	0.000000	0.603859	1.000000	0.114645	1.000000	0.048263	123168.616543
WIND_ONSHORE	9992.199988	116.216470	30.000000	0.000000	10.000000	10.000000	0.000000	0.197750	1.000000	0.222165	1.000000	0.041639	6228.499993
WIND_OFFSHORE	28562.039993	198.720388	30.000000	0.000000	6.000000	6.000000	0.000000	0.193710	1.000000	0.362711	1.000000	0.041639	3737.099999
HYDRO_RIVER	580.165800	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004680	1.000000	0.457243	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	3124.829865	200.861188	25.000000	0.000000	2.327551	Infinity	0.000000	0.485574	1.000000	0.847819	0.850000	0.048263	2384.156694
IND_COGEN_WOOD	0.000086	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000320	0.850000	0.048263	0.000014
IND_COGEN_WASTE	0.000100	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000053	0.850000	0.048263	0.000024
IND_BOILER_GAS	260.476759	5.218761	17.000000	0.000000	4.423107	Infinity	0.000000	0.186292	1.000000	0.171165	0.950000	0.067080	54.492676
IND_BOILER_WOOD	0.000099	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000381	0.900000	0.067080	0.000025
IND_BOILER_OIL	0.000145	0.000003	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000593	0.950000	0.067080	0.000033
IND_BOILER_COAL	0.000161	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001149	0.900000	0.067080	0.000067
IND_BOILER_WASTE	177.584001	3.551659	17.000000	0.000000	1.541795	Infinity	0.000000	0.171130	1.000000	0.451073	0.900000	0.067080	44.511635
IND_DIRECT_ELEC	1510.699933	6.853160	15.000000	0.000000	4.545646	Infinity	0.000000	0.157004	1.000000	0.140366	0.950000	0.074944	6.682099
DHN_HP_ELEC	2066.420951	70.071216	25.000000	0.000000	6.323778	Infinity	0.000000	0.758712	1.000000	0.615538	0.950000	0.048263	1105.333164
DHN_COGEN_GAS	1975.329365	57.754498	25.000000	0.000000	1.651420	Infinity	0.000000	0.241288	1.000000	0.749605	0.850000	0.048263	810.648986
DHN_COGEN_WOOD	0.000004	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000150	0.850000	0.048263	0.000001
DHN_COGEN_WASTE	0.000079	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000046	0.850000	0.048263	0.000019
DHN_COGEN_WET_BIOMASS	0.000071	0.000006	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000128	0.750000	0.048263	0.000055
DHN_COGEN_BIO_HYDROLYSIS	0.000066	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000031	0.850000	0.074944	0.000010
DHN_BOILER_GAS	0.000032	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000413	0.950000	0.067080	0.000007
DHN_BOILER_WOOD	0.000023	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000151	0.900000	0.067080	0.000006
DHN_BOILER_OIL	0.000017	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000155	0.950000	0.067080	0.000004
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000039	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000086	1.000000	0.041639	0.000024
DEC_HP_ELEC	8683.485821	362.054296	18.000000	0.000000	18.619306	Infinity	0.000000	0.977484	1.000000	0.450180	1.000000	0.063806	3070.137395
DEC_THHP_GAS	0.001126	0.000033	20.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.016421	1.000000	0.058246	0.001437
DEC_COGEN_GAS	0.000273	0.000018	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000683	1.000000	0.058246	0.000208
DEC_COGEN_OIL	0.000321	0.000020	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000522	1.000000	0.058246	0.000264
DEC_ADVCOGEN_GAS	0.000468	0.000009	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000298	1.000000	0.058246	0.000166
DEC_ADVCOGEN_H2	2621.608338	48.857084	20.000000	0.000000	0.424042	Infinity	0.000000	0.022516	1.000000	0.455326	1.000000	0.058246	930.114342
DEC_BOILER_GAS	0.000269	0.000008	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000249	1.000000	0.067080	0.000036
DEC_BOILER_WOOD	0.000113	0.000004	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000299	1.000000	0.067080	0.000005
DEC_BOILER_OIL	0.000186	0.000011	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000286	1.000000	0.067080	0.000028
DEC_SOLAR	0.001402	0.000016	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001255	1.000000	0.058246	0.000444
DEC_DIRECT_ELEC	0.000330	0.000001	15.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.000345	1.000000	0.074944	0.000013
TRAMWAY_TROLLEY	4892.983413	97.859668	30.000000	0.000000	7.828773	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000011	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000061	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000024	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000124	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000049	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000265	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000237	0.000010	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001218	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	14730.020938	658.687061	15.000000	0.000000	21.077986	Infinity	0.000000	0.700000	1.000000	0.296800	0.296800	0.074944	0.000000
TRAIN_PUB	0.001701	0.000061	40.000000	0.000000	0.000001	Infinity	0.000000	0.000000	0.500000	0.004375	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_DIESEL	0.000011	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000028	0.051370	0.108434	0.000000
CAR_NG	0.000025	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000050	0.051370	0.108434	0.000000
CAR_METHANOL	0.000018	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000041	0.051370	0.108434	0.000000
CAR_HEV	0.000016	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000039	0.051370	0.108434	0.000000
CAR_PHEV	0.007251	0.000538	10.000000	0.000000	0.000016	Infinity	0.000000	0.000000	1.000000	0.005416	0.051370	0.108434	0.000000
CAR_BEV	72794.379785	1739.744271	10.000000	0.000000	173.974427	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000037	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000062	0.051370	0.108434	0.000000
