Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	607.331310	0.000000	421.957540
CCGT	32.444575	0.000000	2.331492
CCGT_AMMONIA	0.000022	0.000000	0.000000
COAL_US	0.000023	0.000000	0.000002
COAL_IGCC	0.000024	0.000000	0.000001
PV	1193.895521	0.000000	0.000000
WIND_ONSHORE	1454.701153	0.000000	16.187285
WIND_OFFSHORE	0.000021	0.000000	0.000004
HYDRO_RIVER	28.689172	0.000000	-8.085093
GEOTHERMAL	0.000056	0.000000	0.000000
IND_COGEN_GAS	69.667095	0.000000	43.115519
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	111.124134	0.000000	159.915202
IND_BOILER_GAS	15.576888	0.000000	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	8.853576	0.000000	0.000000
IND_BOILER_COAL	509.711665	0.000000	223.047579
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	19.356686	0.000000	0.340682
DHN_COGEN_GAS	247.640226	0.000000	166.088725
DHN_COGEN_WOOD	67.756415	0.000000	10.001488
DHN_COGEN_WASTE	239.056027	0.000000	224.563611
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	4.444378	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.621991	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000003	0.000000	0.000000
DEC_HP_ELEC	9.075313	0.000000	0.273455
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	28.895039	0.000000	5.682932
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	207.137427	0.000000	0.000000
DEC_BOILER_WOOD	1885.231904	0.000000	7.631264
DEC_BOILER_OIL	273.553195	0.000000	0.000000
DEC_SOLAR	358.814680	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	68.118817	0.000000	0.000000
BUS_COACH_DIESEL	0.000004	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	479.737925	0.000000	0.318902
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000002	0.000000	0.000000
TRAIN_PUB	249.032234	0.000000	0.000000
