Name	Used	Potential
AMMONIA	0.001249	Infinity
AMMONIA_RE_BE	0.000000	0.000000
AMMONIA_RE_IMPORT	0.001059	Infinity
BIODIESEL	0.001108	Infinity
BIODIESEL_BE	0.000000	0.000000
BIOETHANOL	0.001280	Infinity
CO2_ATM	0.000903	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	38922.007990	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	24247.303295	33354.999440
DIESEL	12753.024336	Infinity
ELEC_EXPORT	1.428718	Infinity
ELECTRICITY	2689.473949	26695.865580
GAS	103089.019530	Infinity
GAS_RE_BE	0.000000	0.000000
GAS_RE_IMPORT	0.000030	Infinity
GASOLINE	9304.365753	Infinity
H2	0.000066	Infinity
H2_RE_BE	0.000000	0.000000
H2_RE_IMPORT	0.000004	Infinity
LFO	78486.520261	Infinity
LFO_RE_BE	0.000000	0.000000
METHANOL	71641.413223	Infinity
METHANOL_RE_BE	0.000000	0.000000
METHANOL_RE_IMPORT	0.000271	Infinity
RES_GEO	0.030582	Infinity
RES_HYDRO	0.043105	Infinity
RES_SOLAR	253.296188	Infinity
RES_WIND	9672.875594	Infinity
URANIUM	156794.530990	Infinity
WASTE	8696.510846	17800.000000
WET_BIOMASS	38899.997820	38900.000000
WOOD	23400.000118	23400.000000
WOOD_PRODUCTION	0.005314	70200.000000
