Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	51.131642	0.000000	41.110384
CCGT	25.066257	0.000000	4551.137000
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	3.988426	0.000000	1700.773173
COAL_IGCC	0.000000	0.000000	0.000000
PV	169.873090	0.000000	0.000000
WIND_ONSHORE	25.350082	0.000000	0.346904
WIND_OFFSHORE	19.429439	0.000000	0.482134
HYDRO_RIVER	4.213526	0.000000	0.011774
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	16.234807	0.000000	2438.727841
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	18.178491	0.000000	5507.985285
IND_BOILER_GAS	2.318668	0.000000	5186.664162
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	1.299058	0.000000	1718.288513
IND_BOILER_COAL	17.746385	0.000000	8710.122336
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.258130	0.000000	1.730163
DHN_COGEN_GAS	2.758564	0.000000	533.160923
DHN_COGEN_WOOD	0.327422	0.000000	29.129780
DHN_COGEN_WASTE	2.098820	0.000000	247.796571
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.232622	0.000000	7.528466
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.057400	0.000000	1.578279
DHN_DEEP_GEO	0.144806	0.000000	0.000717
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	4.815494	0.000000	31.670925
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	14.271171	0.000000	450.245182
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	60.193119	0.000000	7390.084223
DEC_BOILER_WOOD	94.359733	0.000000	7196.352332
DEC_BOILER_OIL	73.251631	0.000000	22562.595334
DEC_SOLAR	61.750140	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	5.043876	0.000000	0.000000
