TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	28710.950250	609.866092	60.000000	5.925000	5.925000	5.925000	0.000000	0.621296	1.000000	0.849000	0.849000	0.025393	4194.189000
CCGT	3319.788895	84.079654	25.000000	3.925000	3.930000	3.930000	0.000000	0.253296	1.000000	0.521835	0.961540	0.048263	722.294699
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.630000	0.048263	0.000000
COAL_US	1240.710700	14.485878	35.000000	0.470000	0.470000	0.470000	0.000000	0.000408	1.000000	0.007024	0.868000	0.036934	155.852000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	6584.063470	75.190309	25.000000	3.845000	3.847000	3.847000	0.000000	0.056403	1.000000	0.118708	1.000000	0.048263	8007.261101
WIND_ONSHORE	1696.456096	19.731067	30.000000	1.249000	1.251000	1.251000	0.000000	0.033209	1.000000	0.214929	1.000000	0.041639	779.185357
WIND_OFFSHORE	5456.788683	37.965605	30.000000	0.711000	0.713000	0.713000	0.000000	0.029551	1.000000	0.335572	1.000000	0.041639	444.092053
HYDRO_RIVER	585.210752	5.851597	40.000000	0.114000	0.116000	0.116000	0.000000	0.005837	1.000000	0.407393	1.000000	0.033427	146.487128
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	1260.682501	81.035209	25.000000	0.823000	0.825000	0.825000	0.000000	0.097129	1.000000	0.850000	0.850000	0.048263	845.064001
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	1753.047238	64.626519	25.000000	0.535000	0.537000	0.537000	0.000000	0.000332	1.000000	0.004465	0.850000	0.048263	347.879340
IND_BOILER_GAS	216.956900	4.346699	17.000000	3.068000	3.070000	3.070000	0.000000	0.403961	1.000000	0.950000	0.950000	0.067080	37.822400
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_OIL	113.227600	2.435284	17.000000	1.713000	1.720000	1.720000	0.000000	0.226324	1.000000	0.950000	0.950000	0.067080	21.190400
IND_BOILER_COAL	375.958400	7.518906	17.000000	2.714000	2.720000	2.720000	0.000000	0.272253	1.000000	0.722647	0.900000	0.067080	131.049600
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.074944	0.000000
DHN_HP_ELEC	18.467245	0.626206	25.000000	0.042000	0.044000	0.044000	0.000000	0.052706	1.000000	0.335966	0.950000	0.048263	7.690762
DHN_COGEN_GAS	473.788094	13.852574	25.000000	0.346000	0.348000	0.348000	0.000000	0.760970	1.000000	0.613308	0.850000	0.048263	170.826245
DHN_COGEN_WOOD	69.204058	2.533735	25.000000	0.057000	0.059000	0.059000	0.000000	0.078829	1.000000	0.374733	0.850000	0.048263	9.754471
DHN_COGEN_WASTE	208.929282	7.702230	25.000000	0.062000	0.064000	0.064000	0.000000	0.000313	1.000000	0.001371	0.850000	0.048263	41.460480
