Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	1.449682	0.000000	549.021683
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.158039	0.000000	0.000000
WIND_ONSHORE	102.107232	0.000000	0.605335
WIND_OFFSHORE	96.182602	0.000000	0.859937
HYDRO_RIVER	2.193013	0.000000	0.002653
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	65.542316	0.000000	15676.023393
IND_COGEN_WOOD	0.000001	0.000000	0.000372
IND_COGEN_WASTE	0.000000	0.000000	0.000019
IND_BOILER_GAS	2.604548	0.000000	2078.385579
IND_BOILER_WOOD	0.000001	0.000000	0.000441
IND_BOILER_OIL	0.000000	0.000000	0.000016
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	5.341055	0.000000	4904.501446
IND_DIRECT_ELEC	0.078243	0.000000	0.000000
DHN_HP_ELEC	24.589332	0.000000	529.786259
DHN_COGEN_GAS	0.000003	0.000000	0.000966
DHN_COGEN_WOOD	0.000000	0.000000	0.000021
DHN_COGEN_WASTE	0.000000	0.000000	0.000014
DHN_COGEN_WET_BIOMASS	0.000002	0.000000	0.000065
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000021
DHN_BOILER_GAS	0.000000	0.000000	0.000006
DHN_BOILER_WOOD	0.000000	0.000000	0.000018
DHN_BOILER_OIL	0.000000	0.000000	0.000007
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	92.960633	0.000000	1281.777761
DEC_THHP_GAS	0.000003	0.000000	0.000112
DEC_COGEN_GAS	0.000001	0.000000	0.000032
DEC_COGEN_OIL	0.000001	0.000000	0.000015
DEC_ADVCOGEN_GAS	0.000001	0.000000	0.000040
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000	0.000014
DEC_BOILER_WOOD	0.000001	0.000000	0.000029
DEC_BOILER_OIL	0.000000	0.000000	0.000010
DEC_SOLAR	0.000011	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000004
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000001
BUS_COACH_CNG_STOICH	234.487210	0.000000	3726.638524
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000001	0.000000	0.000001
TRAIN_PUB	0.000002	0.000000	0.000001
CAR_GASOLINE	0.000000	0.000000	0.000001
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000028	0.000000	0.000017
CAR_BEV	3497.091976	0.000000	553.863730
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	27.392424	0.000000	52.795724
BOAT_FREIGHT_DIESEL	0.000001	0.000000	0.000039
BOAT_FREIGHT_NG	18.323903	0.000000	833.178784
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000001
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	168.473478	0.000000	4.360627
TRUCK_ELEC	380.197651	0.000000	9.888957
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000002	0.000000	0.000000
SYN_METHANOLATION	0.000002	0.000000	0.000000
METHANE_TO_METHANOL	5.833908	0.000000	41.402521
BIOMASS_TO_METHANOL	129.413499	0.000000	8290.340118
OIL_TO_HVC	0.000005	0.000000	0.000083
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	95.330131	0.000000	0.000000
ADLIBIO_TO_FUEL	66.519871	0.000000	503.592085
PHS	441.159083	0.000000	0.000000
BATT_LI	321.693570	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000025	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000001	0.000000	0.000000
TS_DEC_HP_ELEC	6.815975	0.000000	0.000000
TS_DEC_THHP_GAS	0.000001	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000001	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000001	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000001	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000001	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000001	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000001	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000001	0.000000	0.000000
TS_DHN_DAILY	0.000005	0.000000	0.000000
TS_DHN_SEASONAL	228.142812	0.000000	0.000000
TS_HIGH_TEMP	0.034643	0.000000	0.000000
GAS_STORAGE	0.026078	0.000000	0.000000
H2_STORAGE	0.000055	0.000000	0.000000
DIESEL_STORAGE	0.000077	0.000000	0.000000
GASOLINE_STORAGE	0.000079	0.000000	0.000000
LFO_STORAGE	0.000063	0.000000	0.000000
AMMONIA_STORAGE	0.001184	0.000000	0.000000
METHANOL_STORAGE	0.001182	0.000000	0.000000
CO2_STORAGE	0.000015	0.000000	0.000000
ADLIBIO_TO_HVC	0.000001	0.000000	0.000007
AMMONIA_TO_H2	0.000000	0.000000	0.000000
ATM_CCS	0.000000	0.000000	-0.000019
BIO_HYDROLYSIS	10.008544	0.000000	10106.269964
BIOMETHANATION	0.000004	0.000000	0.000203
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000	0.000017
GRID	19.099799	0.000000	0.000000
H2_BIOMASS	6.568252	0.000000	4.962151
H2_ELECTROLYSIS	0.000001	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.000007
REDIFUEL	0.000000	0.000000	0.000007
SMR	0.000000	0.000000	0.000035
SYN_METHANATION	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	641.063325	0.000000
GASOLINE	0.000000	0.000001	0.000000
DIESEL	0.000000	0.000002	0.000000
BIOETHANOL	0.000000	-0.000001	0.000000
BIODIESEL	0.000000	-0.000006	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
LFO	0.000000	0.000029	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
GAS	0.000000	6228.829044	0.000000
GAS_RE_IMPORT	0.000000	-0.000000	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
WOOD	0.000000	-7555.389550	0.000000
WOOD_PRODUCTION	0.000000	-24134.629497	0.000000
WET_BIOMASS	0.000000	-16341.968223	0.000000
COAL	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
AMMONIA	0.000000	0.000009	0.000000
METHANOL	0.000000	0.000004	0.000000
AMMONIA_RE_IMPORT	0.000000	0.000020	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	-1052.196957	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
