Name	Used	Potential
AMMONIA	0.000077	Infinity
AMMONIA_RE_BE	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000113	Infinity
BIODIESEL	0.000073	Infinity
BIODIESEL_BE	0.000000	0.000000
BIOETHANOL	0.000044	Infinity
CO2_ATM	0.000000	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	9653.709259	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	26815.790320	35000.000000
DIESEL	0.000141	Infinity
ELEC_EXPORT	0.000383	Infinity
ELECTRICITY	0.000119	26695.865580
GAS	0.000004	1500000.000000
GAS_RE_BE	0.000000	0.000000
GAS_RE_IMPORT	0.000011	10000.000000
GASOLINE	0.000073	Infinity
H2	0.000001	Infinity
H2_RE_BE	0.000000	0.000000
H2_RE_IMPORT	0.000005	Infinity
LFO	0.001246	Infinity
LFO_RE_BE	0.000000	0.000000
METHANOL	1133.681651	Infinity
METHANOL_RE_BE	0.000000	0.000000
METHANOL_RE_IMPORT	0.000047	Infinity
RES_GEO	0.000228	Infinity
RES_HYDRO	90746.591237	Infinity
RES_SOLAR	0.001240	Infinity
RES_WIND	0.001149	Infinity
URANIUM	39727.349762	Infinity
WASTE	0.002811	38204.550000
WET_BIOMASS	0.062510	41212.559600
WOOD	0.004349	99914.718060
WOOD_PRODUCTION	0.000000	0.000000
