Name	Crit_1_tech	Crit_1_res	Crit_1_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	1.004008	0.000000	12.785820
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	0.000000	0.000000	0.000000
WIND_ONSHORE	0.000000	0.000000	0.000000
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_RIVER	0.000000	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000000	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	0.021775	0.000000	4.845112
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.000000	0.000000	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.009703	0.000000	2.159035
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	0.000000	0.000000	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	0.507306	0.000000	4.987547
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000	0.000000
DEC_SOLAR	0.000000	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.001366	0.000000	0.000000
BUS_COACH_DIESEL	0.000321	0.000000	0.000002
BUS_COACH_HYDIESEL	0.000345	0.000000	0.000037
BUS_COACH_CNG_STOICH	0.000322	0.000000	0.000016
BUS_COACH_FC_HYBRIDH2	12.652161	0.000000	0.024872
BUS_COACH_ELECTRIC	0.000967	0.000000	0.000000
TRAIN_PUB	0.000559	0.000000	0.000000
CAR_GASOLINE	3.441218	0.000000	0.000003
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000784	0.000000	0.000070
CAR_PHEV	0.815154	0.000000	0.000000
CAR_BEV	302.848052	0.000000	0.000000
CAR_FUEL_CELL	281.770998	0.000000	1.829529
TRAIN_FREIGHT	0.084136	0.000000	0.260355
BOAT_FREIGHT_DIESEL	0.000105	0.000000	0.000078
BOAT_FREIGHT_NG	0.000095	0.000000	0.000915
BOAT_FREIGHT_METHANOL	0.153794	0.000000	0.658063
TRUCK_DIESEL	0.000070	0.000000	0.000015
TRUCK_METHANOL	0.001893	0.000000	0.004421
TRUCK_FUEL_CELL	28.748964	0.000000	0.225202
TRUCK_ELEC	0.000076	0.000000	0.000000
TRUCK_NG	0.000067	0.000000	0.000007
HABER_BOSCH	0.007389	0.000000	0.000001
SYN_METHANOLATION	0.004088	0.000000	0.000000
METHANE_TO_METHANOL	0.006414	0.000000	0.000075
BIOMASS_TO_METHANOL	0.004780	0.000000	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000	0.000000
OIL_TO_HVC	0.005570	0.000000	0.000000
GAS_TO_HVC	0.006375	0.000000	0.000000
METHANOL_TO_HVC	3.756806	0.000000	0.000000
PHS	0.000582	0.000000	0.000000
BATT_LI	0.000000	0.000000	0.000000
BEV_BATT	1621.730253	0.000000	0.000000
PHEV_BATT	1.295346	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.009932	0.000000	0.000000
TS_DEC_HP_ELEC	0.009989	0.000000	0.000000
TS_DEC_THHP_GAS	0.009934	0.000000	0.000000
TS_DEC_COGEN_GAS	0.009934	0.000000	0.000000
TS_DEC_COGEN_OIL	0.009936	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.009908	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.009939	0.000000	0.000000
TS_DEC_BOILER_GAS	0.061775	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.009963	0.000000	0.000000
TS_DEC_BOILER_OIL	0.009928	0.000000	0.000000
TS_DHN_DAILY	0.009887	0.000000	0.000000
TS_DHN_SEASONAL	0.920010	0.000000	0.000000
TS_HIGH_TEMP	0.009996	0.000000	0.000000
GAS_STORAGE	1016.652976	0.000000	0.000000
H2_STORAGE	1149.376628	0.000000	0.000000
DIESEL_STORAGE	934.328315	0.000000	0.000000
GASOLINE_STORAGE	951.431505	0.000000	0.000000
LFO_STORAGE	741.473258	0.000000	0.000000
AMMONIA_STORAGE	1.289539	0.000000	0.000000
METHANOL_STORAGE	1.292253	0.000000	0.000000
CO2_STORAGE	6228.152924	0.000000	0.000000
ADLIBIO_TO_FUEL	1.989649	0.000000	0.000000
AMMONIA_TO_H2	0.005427	0.000000	0.000000
ATM_CCS	0.003807	0.000000	0.000000
BIO_HYDROLYSIS	0.000773	0.000000	0.000000
BIOMETHANATION	0.001876	0.000000	0.000000
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.001185	0.000000	0.000000
GRID	1.334559	0.000000	0.000000
H2_BIOMASS	0.001254	0.000000	0.000000
H2_ELECTROLYSIS	0.008787	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000	0.362060
REDIFUEL	0.000000	0.000000	0.000000
SMR	0.000000	0.000000	1.167405
SYN_METHANATION	0.469793	0.000000	0.105814
AMMONIA	0.000000	0.000000	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	28.922233	0.000000
BIODIESEL	0.000000	0.001100	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.001167	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	0.000000
GAS	0.000000	0.000000	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	336.003179	0.000000
GASOLINE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	42.705978	0.000000
LFO	0.000000	0.000000	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	74.290769	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000
WOOD_PRODUCTION	0.000000	0.000000	0.000000
