Name	Used	Potential
AMMONIA	0.000800	Infinity
AMMONIA_RE_BE	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000505	Infinity
BIODIESEL	0.000177	Infinity
BIODIESEL_BE	0.000000	0.000000
BIOETHANOL	0.000168	Infinity
CO2_ATM	0.000000	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	11637.363600	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	26815.775137	35000.000000
DIESEL	0.000494	Infinity
ELEC_EXPORT	0.001638	Infinity
ELECTRICITY	0.000361	26695.865580
GAS	0.001596	1500000.000000
GAS_RE_BE	0.000000	0.000000
GAS_RE_IMPORT	0.000472	10000.000000
GASOLINE	0.000282	Infinity
H2	0.000043	Infinity
H2_RE_BE	0.000000	0.000000
H2_RE_IMPORT	0.000021	Infinity
LFO	0.005727	Infinity
LFO_RE_BE	0.000000	0.000000
METHANOL	0.000658	Infinity
METHANOL_RE_BE	0.000000	0.000000
METHANOL_RE_IMPORT	0.000289	Infinity
RES_GEO	0.000732	Infinity
RES_HYDRO	90746.588768	Infinity
RES_SOLAR	0.003238	Infinity
RES_WIND	0.004954	Infinity
URANIUM	39727.349633	Infinity
WASTE	0.008261	38204.550000
WET_BIOMASS	5800.590346	41212.559600
WOOD	0.015196	99914.718060
WOOD_PRODUCTION	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
